#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1000000E+02     0.9680217E+00    -0.3045608E-02     0.1740515E+00     0.1722421E-01     0.4591685E-09     0.9047743E-09     0.1809549E-08
     0.2000000E+02     0.9227098E+00    -0.5992172E-02     0.3427038E+00     0.1641916E-01     0.4584869E-09     0.9040964E-09     0.1808193E-08
     0.3000000E+02     0.8488258E+00    -0.8744734E-02     0.5007495E+00     0.1510912E-01     0.4573775E-09     0.9029897E-09     0.1805979E-08
     0.4000000E+02     0.7487533E+00    -0.1121622E-01     0.6433540E+00     0.1333992E-01     0.4558785E-09     0.9014926E-09     0.1802985E-08
     0.5000000E+02     0.6256929E+00    -0.1333073E-01     0.7662190E+00     0.1117248E-01     0.4540409E-09     0.8996556E-09     0.1799311E-08
     0.6000000E+02     0.4835377E+00    -0.1502606E-01     0.8657187E+00     0.8679895E-02     0.4519254E-09     0.8975396E-09     0.1795079E-08
     0.7000000E+02     0.3267265E+00    -0.1625549E-01     0.9390058E+00     0.5944162E-02     0.4496006E-09     0.8952130E-09     0.1790426E-08
     0.8000000E+02     0.1600840E+00    -0.1698866E-01     0.9840828E+00     0.3052750E-02     0.4471390E-09     0.8927483E-09     0.1785497E-08
     0.9000000E+02    -0.1134445E-01    -0.1721171E-01     0.9998407E+00     0.9527717E-04     0.4446149E-09     0.8902198E-09     0.1780440E-08
     0.1000000E+03    -0.1824551E+00    -0.1692673E-01     0.9860642E+00    -0.2839562E-02     0.4421015E-09     0.8877007E-09     0.1775401E-08
     0.1100000E+03    -0.3482407E+00    -0.1615069E-01     0.9434091E+00    -0.5666694E-02     0.4396687E-09     0.8852611E-09     0.1770522E-08
     0.1200000E+03    -0.5039320E+00    -0.1491399E-01     0.8733542E+00    -0.8306913E-02     0.4373809E-09     0.8829653E-09     0.1765931E-08
     0.1300000E+03    -0.6451242E+00    -0.1325875E-01     0.7781334E+00    -0.1068868E-01     0.4352956E-09     0.8808713E-09     0.1761743E-08
     0.1400000E+03    -0.7678847E+00    -0.1123707E-01     0.6606516E+00    -0.1274948E-01     0.4334625E-09     0.8790288E-09     0.1758058E-08
     0.1500000E+03    -0.8688441E+00    -0.8909151E-02     0.5243899E+00    -0.1443682E-01     0.4319222E-09     0.8774788E-09     0.1754958E-08
     0.1600000E+03    -0.9452684E+00    -0.6341582E-02     0.3733008E+00    -0.1570888E-01     0.4307063E-09     0.8762533E-09     0.1752507E-08
     0.1700000E+03    -0.9951141E+00    -0.3605625E-02     0.2117001E+00    -0.1653496E-01     0.4298375E-09     0.8753754E-09     0.1750751E-08
     0.1800000E+03    -0.1017067E+01    -0.7756217E-03     0.4415387E-01    -0.1689573E-01     0.4293296E-09     0.8748592E-09     0.1749718E-08
     0.1900000E+03    -0.1010566E+01     0.2072535E-02    -0.1246357E+00    -0.1678326E-01     0.4291887E-09     0.8747113E-09     0.1749423E-08
     0.2000000E+03    -0.9758094E+00     0.4862867E-02    -0.2899445E+00    -0.1620110E-01     0.4294137E-09     0.8749309E-09     0.1749862E-08
     0.2100000E+03    -0.9137505E+00     0.7520754E-02    -0.4471404E+00    -0.1516411E-01     0.4299972E-09     0.8755107E-09     0.1751021E-08
     0.2200000E+03    -0.8260757E+00     0.9974371E-02    -0.5917960E+00    -0.1369828E-01     0.4309261E-09     0.8764376E-09     0.1752875E-08
     0.2300000E+03    -0.7151698E+00     0.1215614E-01    -0.7197980E+00    -0.1184041E-01     0.4321810E-09     0.8776921E-09     0.1755384E-08
     0.2400000E+03    -0.5840659E+00     0.1400425E-01    -0.8274535E+00    -0.9637658E-02     0.4337364E-09     0.8792487E-09     0.1758497E-08
     0.2500000E+03    -0.4363798E+00     0.1546415E-01    -0.9115903E+00    -0.7146926E-02     0.4355599E-09     0.8810745E-09     0.1762149E-08
     0.2600000E+03    -0.2762303E+00     0.1649016E-01    -0.9696504E+00    -0.4433983E-02     0.4376116E-09     0.8831294E-09     0.1766259E-08
     0.2700000E+03    -0.1081418E+00     0.1704702E-01    -0.9997736E+00    -0.1572359E-02     0.4398442E-09     0.8853659E-09     0.1770732E-08
     0.2800000E+03     0.6306704E-01     0.1711141E-01    -0.1000868E+01     0.1358107E-02     0.4422032E-09     0.8877294E-09     0.1775459E-08
     0.2900000E+03     0.2324101E+00     0.1667337E-01    -0.9726629E+00     0.4273070E-02     0.4446278E-09     0.8901590E-09     0.1780318E-08
     0.3000000E+03     0.3948731E+00     0.1573743E-01    -0.9157468E+00     0.7085867E-02     0.4470525E-09     0.8925890E-09     0.1785178E-08
     0.3100000E+03     0.5455634E+00     0.1432342E-01    -0.8315745E+00     0.9710077E-02     0.4494084E-09     0.8949504E-09     0.1789901E-08
     0.3200000E+03     0.6798646E+00     0.1246684E-01    -0.7224523E+00     0.1206239E-01     0.4516260E-09     0.8971737E-09     0.1794347E-08
     0.3300000E+03     0.7935929E+00     0.1021857E-01    -0.5914910E+00     0.1406572E-01     0.4536371E-09     0.8991907E-09     0.1798381E-08
     0.3400000E+03     0.8831464E+00     0.7643863E-02    -0.4425284E+00     0.1565231E-01     0.4553780E-09     0.9009375E-09     0.1801875E-08
     0.3500000E+03     0.9456407E+00     0.4820656E-02    -0.2800200E+00     0.1676684E-01     0.4567920E-09     0.9023576E-09     0.1804715E-08
     0.3600000E+03     0.9790241E+00     0.1837050E-02    -0.1089012E+00     0.1736905E-01     0.4578322E-09     0.9034036E-09     0.1806807E-08
     0.3700000E+03     0.9821637E+00    -0.1211842E-02     0.6557446E-01     0.1743591E-01     0.4584635E-09     0.9040405E-09     0.1808081E-08
     0.3800000E+03     0.9548979E+00    -0.4227568E-02     0.2380153E+00     0.1696293E-01     0.4586645E-09     0.9042467E-09     0.1808493E-08
     0.3900000E+03     0.8980495E+00    -0.7112311E-02     0.4030801E+00     0.1596469E-01     0.4584286E-09     0.9040155E-09     0.1808031E-08
     0.4000000E+03     0.8133998E+00    -0.9772887E-02     0.5556666E+00     0.1447427E-01     0.4577646E-09     0.9033555E-09     0.1806711E-08
     0.4100000E+03     0.7036229E+00    -0.1212451E-01     0.6910905E+00     0.1254184E-01     0.4566958E-09     0.9022900E-09     0.1804580E-08
     0.4200000E+03     0.5721847E+00    -0.1409408E-01     0.8052453E+00     0.1023237E-01     0.4552593E-09     0.9008557E-09     0.1801711E-08
     0.4300000E+03     0.4232129E+00    -0.1562272E-01     0.8947363E+00     0.7622693E-02     0.4535039E-09     0.8991015E-09     0.1798203E-08
     0.4400000E+03     0.2613447E+00    -0.1666761E-01     0.9569824E+00     0.4798144E-02     0.4514878E-09     0.8970855E-09     0.1794171E-08
     0.4500000E+03     0.9156134E-01    -0.1720288E-01     0.9902839E+00     0.1849056E-02     0.4492764E-09     0.8948730E-09     0.1789746E-08
     0.4600000E+03    -0.8098277E-01    -0.1721968E-01     0.9938547E+00    -0.1132726E-02     0.4469390E-09     0.8925333E-09     0.1785067E-08
     0.4700000E+03    -0.2511278E+00    -0.1672563E-01     0.9678213E+00    -0.4057061E-02     0.4445468E-09     0.8901374E-09     0.1780275E-08
     0.4800000E+03    -0.4138672E+00    -0.1574356E-01     0.9131911E+00    -0.6838349E-02     0.4421698E-09     0.8877556E-09     0.1775511E-08
     0.4900000E+03    -0.5644924E+00    -0.1430991E-01     0.8317945E+00    -0.9397887E-02     0.4398752E-09     0.8854548E-09     0.1770910E-08
     0.5000000E+03    -0.6987196E+00    -0.1247284E-01     0.7262068E+00    -0.1166574E-01     0.4377250E-09     0.8832974E-09     0.1766595E-08
     0.5100000E+03    -0.8127965E+00    -0.1029021E-01     0.5996527E+00    -0.1358210E-01     0.4357749E-09     0.8813392E-09     0.1762678E-08
     0.5200000E+03    -0.9035897E+00    -0.7827551E-02     0.4559002E+00    -0.1509826E-01     0.4340732E-09     0.8796283E-09     0.1759257E-08
