  100     0.1791542E-01     0.1178712E-01
  200     0.2974183E-01     0.1685469E-01
  300     0.2767708E-01     0.1390851E-01
  400     0.1422260E-01     0.8930487E-02
  500     0.1014680E-01     0.9053388E-02
  600     0.1017321E-01     0.8407505E-02
  700     0.1196214E-01     0.7384920E-02
  800     0.1353500E-01     0.7842113E-02
  900     0.9517886E-02     0.6567897E-02
 1000     0.5761223E-02     0.5522946E-02
 1100     0.8210813E-02     0.6175050E-02
 1200     0.4530463E-02     0.5372222E-02
 1300     0.4421678E-02     0.4872936E-02
 1400     0.9485237E-02     0.5348748E-02
 1500     0.6307134E-02     0.4894455E-02
 1600     0.4597492E-02     0.4519371E-02
 1700     0.4351024E-02     0.4602957E-02
 1800     0.6749407E-02     0.4692028E-02
 1900     0.6405735E-02     0.4752679E-02
 2000     0.7826856E-02     0.4737769E-02
 2100     0.5866420E-02     0.4463173E-02
 2200     0.3401850E-02     0.4078272E-02
 2300     0.3933942E-02     0.4009606E-02
 2400     0.3957013E-02     0.3906658E-02
 2500     0.5863430E-02     0.3943700E-02
 2600     0.5903221E-02     0.3942957E-02
 2700     0.5877368E-02     0.3867956E-02
 2800     0.5289802E-02     0.3838079E-02
 2900     0.5330483E-02     0.3784343E-02
 3000     0.4643423E-02     0.3705256E-02
 3100     0.5189059E-02     0.3745571E-02
 3200     0.4940397E-02     0.3641818E-02
 3300     0.3405831E-02     0.3554615E-02
 3400     0.2384021E-02     0.3401948E-02
 3500     0.1073357E-02     0.3302202E-02
 3600     0.2411064E-02     0.3334192E-02
 3700     0.6255131E-03     0.3139877E-02
 3800     0.1024597E-03     0.3055653E-02
 3900     0.6018438E-03     0.2998068E-02
 4000     0.2297040E-03     0.2919823E-02
 4100     0.3540246E-03     0.2939834E-02
 4200     0.3178271E-03     0.2857000E-02
 4300     0.5043305E-03     0.2789169E-02
 4400     0.1045461E-02     0.2759446E-02
 4500     0.1675354E-02     0.2714276E-02
 4600     0.1289011E-02     0.2677742E-02
 4700     0.2218948E-02     0.2758995E-02
 4800     0.1501996E-02     0.2649332E-02
 4900     0.2045161E-02     0.2635206E-02
 5000     0.1968196E-02     0.2604912E-02
 5100     0.1584397E-02     0.2562250E-02
