#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.4300000E+01     0.9804550E+00    -0.1318554E-02     0.7515965E-01     0.1744542E-01     0.4593665E-09     0.9178283E-09     0.1835657E-08
     0.4400000E+01     0.9803216E+00    -0.1349155E-02     0.7690407E-01     0.1744305E-01     0.4593650E-09     0.9178268E-09     0.1835654E-08
     0.4500000E+01     0.9801852E+00    -0.1379751E-02     0.7864826E-01     0.1744062E-01     0.4593635E-09     0.9178253E-09     0.1835651E-08
     0.4600000E+01     0.9800457E+00    -0.1410343E-02     0.8039220E-01     0.1743815E-01     0.4593619E-09     0.9178237E-09     0.1835647E-08
     0.4700000E+01     0.9799031E+00    -0.1440930E-02     0.8213589E-01     0.1743562E-01     0.4593603E-09     0.9178221E-09     0.1835644E-08
     0.4800000E+01     0.9797575E+00    -0.1471512E-02     0.8387932E-01     0.1743303E-01     0.4593587E-09     0.9178205E-09     0.1835641E-08
     0.4900000E+01     0.9796088E+00    -0.1502090E-02     0.8562249E-01     0.1743039E-01     0.4593570E-09     0.9178189E-09     0.1835638E-08
     0.5000000E+01     0.9794571E+00    -0.1532663E-02     0.8736539E-01     0.1742770E-01     0.4593553E-09     0.9178172E-09     0.1835634E-08
     0.5100000E+01     0.9793023E+00    -0.1563231E-02     0.8910803E-01     0.1742495E-01     0.4593536E-09     0.9178154E-09     0.1835631E-08
     0.5200000E+01     0.9791444E+00    -0.1593793E-02     0.9085038E-01     0.1742214E-01     0.4593518E-09     0.9178137E-09     0.1835627E-08
     0.5300000E+01     0.9789835E+00    -0.1624351E-02     0.9259245E-01     0.1741929E-01     0.4593500E-09     0.9178119E-09     0.1835624E-08
     0.5400000E+01     0.9788196E+00    -0.1654903E-02     0.9433424E-01     0.1741638E-01     0.4593482E-09     0.9178100E-09     0.1835620E-08
     0.5500000E+01     0.9786526E+00    -0.1685450E-02     0.9607573E-01     0.1741341E-01     0.4593463E-09     0.9178082E-09     0.1835616E-08
     0.5600000E+01     0.9784825E+00    -0.1715992E-02     0.9781692E-01     0.1741039E-01     0.4593444E-09     0.9178063E-09     0.1835613E-08
     0.5700000E+01     0.9783094E+00    -0.1746528E-02     0.9955780E-01     0.1740732E-01     0.4593424E-09     0.9178043E-09     0.1835609E-08
     0.5800000E+01     0.9781332E+00    -0.1777058E-02     0.1012984E+00     0.1740419E-01     0.4593405E-09     0.9178024E-09     0.1835605E-08
     0.5900000E+01     0.9779539E+00    -0.1807582E-02     0.1030386E+00     0.1740101E-01     0.4593385E-09     0.9178003E-09     0.1835601E-08
     0.6000000E+01     0.9777717E+00    -0.1838101E-02     0.1047786E+00     0.1739777E-01     0.4593364E-09     0.9177983E-09     0.1835597E-08
     0.6100000E+01     0.9775863E+00    -0.1868614E-02     0.1065182E+00     0.1739448E-01     0.4593343E-09     0.9177962E-09     0.1835592E-08
     0.6200000E+01     0.9773979E+00    -0.1899120E-02     0.1082575E+00     0.1739114E-01     0.4593322E-09     0.9177941E-09     0.1835588E-08
     0.6300000E+01     0.9772065E+00    -0.1929621E-02     0.1099964E+00     0.1738774E-01     0.4593301E-09     0.9177920E-09     0.1835584E-08
     0.6400000E+01     0.9770120E+00    -0.1960115E-02     0.1117350E+00     0.1738428E-01     0.4593279E-09     0.9177898E-09     0.1835580E-08
     0.6500000E+01     0.9768145E+00    -0.1990603E-02     0.1134733E+00     0.1738078E-01     0.4593257E-09     0.9177876E-09     0.1835575E-08
     0.6600000E+01     0.9766139E+00    -0.2021084E-02     0.1152112E+00     0.1737721E-01     0.4593234E-09     0.9177853E-09     0.1835571E-08
     0.6700000E+01     0.9764103E+00    -0.2051559E-02     0.1169487E+00     0.1737360E-01     0.4593211E-09     0.9177830E-09     0.1835566E-08
     0.6800000E+01     0.9762036E+00    -0.2082027E-02     0.1186859E+00     0.1736993E-01     0.4593188E-09     0.9177807E-09     0.1835561E-08
     0.6900000E+01     0.9759939E+00    -0.2112489E-02     0.1204227E+00     0.1736621E-01     0.4593165E-09     0.9177784E-09     0.1835557E-08
     0.7000000E+01     0.9757811E+00    -0.2142943E-02     0.1221591E+00     0.1736243E-01     0.4593141E-09     0.9177760E-09     0.1835552E-08
     0.7100000E+01     0.9755653E+00    -0.2173391E-02     0.1238952E+00     0.1735860E-01     0.4593116E-09     0.9177735E-09     0.1835547E-08
     0.7200000E+01     0.9753464E+00    -0.2203832E-02     0.1256308E+00     0.1735471E-01     0.4593092E-09     0.9177711E-09     0.1835542E-08
     0.7300000E+01     0.9751245E+00    -0.2234265E-02     0.1273661E+00     0.1735077E-01     0.4593067E-09     0.9177686E-09     0.1835537E-08
     0.7400000E+01     0.9748996E+00    -0.2264691E-02     0.1291010E+00     0.1734678E-01     0.4593042E-09     0.9177661E-09     0.1835532E-08
     0.7500000E+01     0.9746716E+00    -0.2295110E-02     0.1308355E+00     0.1734273E-01     0.4593016E-09     0.9177635E-09     0.1835527E-08
     0.7600000E+01     0.9744405E+00    -0.2325521E-02     0.1325695E+00     0.1733863E-01     0.4592990E-09     0.9177609E-09     0.1835522E-08
     0.7700000E+01     0.9742065E+00    -0.2355925E-02     0.1343032E+00     0.1733447E-01     0.4592964E-09     0.9177583E-09     0.1835517E-08
     0.7800000E+01     0.9739694E+00    -0.2386322E-02     0.1360364E+00     0.1733026E-01     0.4592937E-09     0.9177556E-09     0.1835511E-08
     0.7900000E+01     0.9737292E+00    -0.2416710E-02     0.1377693E+00     0.1732600E-01     0.4592910E-09     0.9177529E-09     0.1835506E-08
     0.8000000E+01     0.9734860E+00    -0.2447091E-02     0.1395016E+00     0.1732168E-01     0.4592883E-09     0.9177501E-09     0.1835500E-08
     0.8100000E+01     0.9732398E+00    -0.2477463E-02     0.1412336E+00     0.1731731E-01     0.4592855E-09     0.9177474E-09     0.1835495E-08
     0.8200000E+01     0.9729905E+00    -0.2507828E-02     0.1429651E+00     0.1731289E-01     0.4592827E-09     0.9177446E-09     0.1835489E-08
     0.8300000E+01     0.9727382E+00    -0.2538185E-02     0.1446962E+00     0.1730841E-01     0.4592799E-09     0.9177417E-09     0.1835483E-08
     0.8400000E+01     0.9724829E+00    -0.2568533E-02     0.1464268E+00     0.1730388E-01     0.4592770E-09     0.9177389E-09     0.1835478E-08
     0.8500000E+01     0.9722245E+00    -0.2598873E-02     0.1481569E+00     0.1729929E-01     0.4592741E-09     0.9177359E-09     0.1835472E-08
     0.8600000E+01     0.9719631E+00    -0.2629205E-02     0.1498866E+00     0.1729465E-01     0.4592712E-09     0.9177330E-09     0.1835466E-08
     0.8700000E+01     0.9716987E+00    -0.2659528E-02     0.1516159E+00     0.1728995E-01     0.4592682E-09     0.9177300E-09     0.1835460E-08
     0.8800000E+01     0.9714312E+00    -0.2689842E-02     0.1533446E+00     0.1728521E-01     0.4592652E-09     0.9177270E-09     0.1835454E-08
