#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.4200000E+01     0.9805889E+00    -0.1287918E-02    -0.1941255E-01    -0.4613532E-02     0.3443347E-10     0.9058837E-09     0.1811767E-08
     0.4300000E+01     0.9804586E+00    -0.1318687E-02    -0.1987387E-01    -0.4612916E-02     0.3454530E-10     0.9059955E-09     0.1811991E-08
     0.4400000E+01     0.9803252E+00    -0.1349463E-02    -0.2033513E-01    -0.4612284E-02     0.3465980E-10     0.9061100E-09     0.1812220E-08
     0.4500000E+01     0.9801887E+00    -0.1380247E-02    -0.2079633E-01    -0.4611639E-02     0.3477698E-10     0.9062272E-09     0.1812454E-08
     0.4600000E+01     0.9800491E+00    -0.1411039E-02    -0.2125746E-01    -0.4610978E-02     0.3489683E-10     0.9063471E-09     0.1812694E-08
     0.4700000E+01     0.9799065E+00    -0.1441839E-02    -0.2171852E-01    -0.4610303E-02     0.3501935E-10     0.9064696E-09     0.1812939E-08
     0.4800000E+01     0.9797608E+00    -0.1472647E-02    -0.2217952E-01    -0.4609613E-02     0.3514456E-10     0.9065948E-09     0.1813190E-08
     0.4900000E+01     0.9796120E+00    -0.1503463E-02    -0.2264045E-01    -0.4608908E-02     0.3527245E-10     0.9067227E-09     0.1813445E-08
     0.5000000E+01     0.9794601E+00    -0.1534287E-02    -0.2310130E-01    -0.4608188E-02     0.3540302E-10     0.9068532E-09     0.1813706E-08
     0.5100000E+01     0.9793051E+00    -0.1565120E-02    -0.2356208E-01    -0.4607453E-02     0.3553628E-10     0.9069865E-09     0.1813973E-08
     0.5200000E+01     0.9791471E+00    -0.1595962E-02    -0.2402279E-01    -0.4606704E-02     0.3567224E-10     0.9071225E-09     0.1814245E-08
     0.5300000E+01     0.9789859E+00    -0.1626813E-02    -0.2448342E-01    -0.4605940E-02     0.3581089E-10     0.9072611E-09     0.1814522E-08
     0.5400000E+01     0.9788217E+00    -0.1657673E-02    -0.2494398E-01    -0.4605161E-02     0.3595224E-10     0.9074025E-09     0.1814805E-08
     0.5500000E+01     0.9786544E+00    -0.1688542E-02    -0.2540446E-01    -0.4604367E-02     0.3609629E-10     0.9075465E-09     0.1815093E-08
     0.5600000E+01     0.9784840E+00    -0.1719421E-02    -0.2586485E-01    -0.4603558E-02     0.3624305E-10     0.9076933E-09     0.1815387E-08
     0.5700000E+01     0.9783105E+00    -0.1750310E-02    -0.2632517E-01    -0.4602734E-02     0.3639252E-10     0.9078427E-09     0.1815685E-08
     0.5800000E+01     0.9781339E+00    -0.1781208E-02    -0.2678540E-01    -0.4601895E-02     0.3654469E-10     0.9079949E-09     0.1815990E-08
     0.5900000E+01     0.9779543E+00    -0.1812117E-02    -0.2724555E-01    -0.4601041E-02     0.3669959E-10     0.9081498E-09     0.1816300E-08
     0.6000000E+01     0.9777715E+00    -0.1843035E-02    -0.2770561E-01    -0.4600173E-02     0.3685720E-10     0.9083074E-09     0.1816615E-08
     0.6100000E+01     0.9775856E+00    -0.1873964E-02    -0.2816558E-01    -0.4599289E-02     0.3701753E-10     0.9084678E-09     0.1816936E-08
     0.6200000E+01     0.9773967E+00    -0.1904904E-02    -0.2862546E-01    -0.4598390E-02     0.3718060E-10     0.9086308E-09     0.1817262E-08
     0.6300000E+01     0.9772047E+00    -0.1935855E-02    -0.2908526E-01    -0.4597476E-02     0.3734639E-10     0.9087966E-09     0.1817593E-08
     0.6400000E+01     0.9770095E+00    -0.1966816E-02    -0.2954496E-01    -0.4596547E-02     0.3751492E-10     0.9089651E-09     0.1817930E-08
     0.6500000E+01     0.9768113E+00    -0.1997789E-02    -0.3000457E-01    -0.4595603E-02     0.3768618E-10     0.9091364E-09     0.1818273E-08
     0.6600000E+01     0.9766100E+00    -0.2028773E-02    -0.3046408E-01    -0.4594644E-02     0.3786019E-10     0.9093104E-09     0.1818621E-08
     0.6700000E+01     0.9764055E+00    -0.2059768E-02    -0.3092349E-01    -0.4593670E-02     0.3803695E-10     0.9094872E-09     0.1818974E-08
     0.6800000E+01     0.9761980E+00    -0.2090775E-02    -0.3138281E-01    -0.4592681E-02     0.3821645E-10     0.9096667E-09     0.1819333E-08
     0.6900000E+01     0.9759874E+00    -0.2121794E-02    -0.3184203E-01    -0.4591676E-02     0.3839872E-10     0.9098489E-09     0.1819698E-08
     0.7000000E+01     0.9757737E+00    -0.2152825E-02    -0.3230115E-01    -0.4590656E-02     0.3858374E-10     0.9100340E-09     0.1820068E-08
     0.7100000E+01     0.9755568E+00    -0.2183868E-02    -0.3276016E-01    -0.4589621E-02     0.3877152E-10     0.9102217E-09     0.1820443E-08
     0.7200000E+01     0.9753369E+00    -0.2214924E-02    -0.3321907E-01    -0.4588571E-02     0.3896207E-10     0.9104123E-09     0.1820825E-08
     0.7300000E+01     0.9751138E+00    -0.2245992E-02    -0.3367787E-01    -0.4587505E-02     0.3915540E-10     0.9106056E-09     0.1821211E-08
     0.7400000E+01     0.9748877E+00    -0.2277073E-02    -0.3413657E-01    -0.4586424E-02     0.3935150E-10     0.9108017E-09     0.1821603E-08
     0.7500000E+01     0.9746584E+00    -0.2308167E-02    -0.3459516E-01    -0.4585328E-02     0.3955038E-10     0.9110006E-09     0.1822001E-08
     0.7600000E+01     0.9744261E+00    -0.2339274E-02    -0.3505364E-01    -0.4584217E-02     0.3975205E-10     0.9112023E-09     0.1822405E-08
     0.7700000E+01     0.9741906E+00    -0.2370394E-02    -0.3551200E-01    -0.4583090E-02     0.3995652E-10     0.9114067E-09     0.1822813E-08
     0.7800000E+01     0.9739520E+00    -0.2401528E-02    -0.3597025E-01    -0.4581947E-02     0.4016377E-10     0.9116140E-09     0.1823228E-08
     0.7900000E+01     0.9737103E+00    -0.2432675E-02    -0.3642839E-01    -0.4580789E-02     0.4037383E-10     0.9118241E-09     0.1823648E-08
     0.8000000E+01     0.9734654E+00    -0.2463837E-02    -0.3688641E-01    -0.4579616E-02     0.4058670E-10     0.9120369E-09     0.1824074E-08
     0.8100000E+01     0.9732175E+00    -0.2495013E-02    -0.3734431E-01    -0.4578427E-02     0.4080238E-10     0.9122526E-09     0.1824505E-08
     0.8200000E+01     0.9729664E+00    -0.2526202E-02    -0.3780210E-01    -0.4577223E-02     0.4102087E-10     0.9124711E-09     0.1824942E-08
     0.8300000E+01     0.9727123E+00    -0.2557407E-02    -0.3825976E-01    -0.4576003E-02     0.4124219E-10     0.9126924E-09     0.1825385E-08
     0.8400000E+01     0.9724550E+00    -0.2588626E-02    -0.3871730E-01    -0.4574768E-02     0.4146633E-10     0.9129166E-09     0.1825833E-08
     0.8500000E+01     0.9721945E+00    -0.2619859E-02    -0.3917471E-01    -0.4573517E-02     0.4169330E-10     0.9131435E-09     0.1826287E-08
     0.8600000E+01     0.9719310E+00    -0.2651108E-02    -0.3963200E-01    -0.4572250E-02     0.4192311E-10     0.9133733E-09     0.1826747E-08
     0.8700000E+01     0.9716643E+00    -0.2682372E-02    -0.4008916E-01    -0.4570968E-02     0.4215577E-10     0.9136060E-09     0.1827212E-08
     0.8800000E+01     0.9713945E+00    -0.2713652E-02    -0.4054619E-01    -0.4569670E-02     0.4239127E-10     0.9138415E-09     0.1827683E-08
     0.8900000E+01     0.9711216E+00    -0.2744947E-02    -0.4100309E-01    -0.4568356E-02     0.4262963E-10     0.9140799E-09     0.1828160E-08
     0.9000000E+01     0.9708455E+00    -0.2776257E-02    -0.4145986E-01    -0.4567026E-02     0.4287085E-10     0.9143211E-09     0.1828642E-08
     0.9100000E+01     0.9705663E+00    -0.2807584E-02    -0.4191650E-01    -0.4565681E-02     0.4311494E-10     0.9145652E-09     0.1829130E-08
     0.9200000E+01     0.9702840E+00    -0.2838927E-02    -0.4237300E-01    -0.4564320E-02     0.4336190E-10     0.9148121E-09     0.1829624E-08
     0.9300000E+01     0.9699985E+00    -0.2870286E-02    -0.4282936E-01    -0.4562943E-02     0.4361173E-10     0.9150620E-09     0.1830124E-08
     0.9400000E+01     0.9697099E+00    -0.2901662E-02    -0.4328559E-01    -0.4561550E-02     0.4386445E-10     0.9153147E-09     0.1830629E-08
     0.9500000E+01     0.9694182E+00    -0.2933055E-02    -0.4374167E-01    -0.4560141E-02     0.4412006E-10     0.9155703E-09     0.1831141E-08
     0.9600000E+01     0.9691233E+00    -0.2964465E-02    -0.4419761E-01    -0.4558716E-02     0.4437857E-10     0.9158288E-09     0.1831658E-08
     0.9700000E+01     0.9688253E+00    -0.2995891E-02    -0.4465341E-01    -0.4557275E-02     0.4463998E-10     0.9160902E-09     0.1832180E-08
     0.9800000E+01     0.9685242E+00    -0.3027335E-02    -0.4510907E-01    -0.4555818E-02     0.4490429E-10     0.9163545E-09     0.1832709E-08
     0.9900000E+01     0.9682198E+00    -0.3058797E-02    -0.4556458E-01    -0.4554345E-02     0.4517153E-10     0.9166218E-09     0.1833244E-08
     0.1000000E+02     0.9679124E+00    -0.3090276E-02    -0.4601994E-01    -0.4552856E-02     0.4544168E-10     0.9168919E-09     0.1833784E-08
     0.1010000E+02     0.9676018E+00    -0.3121773E-02    -0.4647515E-01    -0.4551351E-02     0.4571477E-10     0.9171650E-09     0.1834330E-08
     0.1020000E+02     0.9672880E+00    -0.3153289E-02    -0.4693021E-01    -0.4549830E-02     0.4599078E-10     0.9174410E-09     0.1834882E-08
     0.1030000E+02     0.9669711E+00    -0.3184823E-02    -0.4738511E-01    -0.4548292E-02     0.4626975E-10     0.9177200E-09     0.1835440E-08
     0.1040000E+02     0.9666511E+00    -0.3216375E-02    -0.4783986E-01    -0.4546738E-02     0.4655166E-10     0.9180019E-09     0.1836004E-08
     0.1050000E+02     0.9663279E+00    -0.3247946E-02    -0.4829446E-01    -0.4545168E-02     0.4683652E-10     0.9182867E-09     0.1836573E-08
     0.1060000E+02     0.9660015E+00    -0.3279536E-02    -0.4874890E-01    -0.4543581E-02     0.4712435E-10     0.9185746E-09     0.1837149E-08
     0.1070000E+02     0.9656719E+00    -0.3311145E-02    -0.4920318E-01    -0.4541979E-02     0.4741515E-10     0.9188654E-09     0.1837731E-08
     0.1080000E+02     0.9653393E+00    -0.3342773E-02    -0.4965729E-01    -0.4540359E-02     0.4770892E-10     0.9191592E-09     0.1838318E-08
     0.1090000E+02     0.9650034E+00    -0.3374421E-02    -0.5011125E-01    -0.4538724E-02     0.4800568E-10     0.9194559E-09     0.1838912E-08
     0.1100000E+02     0.9646644E+00    -0.3406089E-02    -0.5056504E-01    -0.4537071E-02     0.4830543E-10     0.9197557E-09     0.1839511E-08
     0.1110000E+02     0.9643222E+00    -0.3437776E-02    -0.5101866E-01    -0.4535403E-02     0.4860819E-10     0.9200584E-09     0.1840117E-08
     0.1120000E+02     0.9639768E+00    -0.3469484E-02    -0.5147212E-01    -0.4533717E-02     0.4891394E-10     0.9203642E-09     0.1840728E-08
     0.1130000E+02     0.9636283E+00    -0.3501212E-02    -0.5192540E-01    -0.4532016E-02     0.4922271E-10     0.9206729E-09     0.1841346E-08
     0.1140000E+02     0.9632766E+00    -0.3532961E-02    -0.5237852E-01    -0.4530297E-02     0.4953451E-10     0.9209847E-09     0.1841969E-08
     0.1150000E+02     0.9629217E+00    -0.3564730E-02    -0.5283146E-01    -0.4528562E-02     0.4984933E-10     0.9212996E-09     0.1842599E-08
     0.1160000E+02     0.9625636E+00    -0.3596520E-02    -0.5328423E-01    -0.4526810E-02     0.5016719E-10     0.9216174E-09     0.1843235E-08
     0.1170000E+02     0.9622024E+00    -0.3628332E-02    -0.5373682E-01    -0.4525041E-02     0.5048809E-10     0.9219383E-09     0.1843877E-08
     0.1180000E+02     0.9618380E+00    -0.3660165E-02    -0.5418924E-01    -0.4523255E-02     0.5081205E-10     0.9222623E-09     0.1844525E-08
     0.1190000E+02     0.9614703E+00    -0.3692019E-02    -0.5464147E-01    -0.4521453E-02     0.5113907E-10     0.9225893E-09     0.1845179E-08
     0.1200000E+02     0.9610996E+00    -0.3723896E-02    -0.5509353E-01    -0.4519633E-02     0.5146916E-10     0.9229194E-09     0.1845839E-08
     0.1210000E+02     0.9607256E+00    -0.3755794E-02    -0.5554540E-01    -0.4517797E-02     0.5180233E-10     0.9232526E-09     0.1846505E-08
     0.1220000E+02     0.9603484E+00    -0.3787715E-02    -0.5599709E-01    -0.4515944E-02     0.5213859E-10     0.9235888E-09     0.1847178E-08
     0.1230000E+02     0.9599680E+00    -0.3819658E-02    -0.5644859E-01    -0.4514073E-02     0.5247793E-10     0.9239282E-09     0.1847856E-08
     0.1240000E+02     0.9595845E+00    -0.3851623E-02    -0.5689990E-01    -0.4512186E-02     0.5282039E-10     0.9242706E-09     0.1848541E-08
