     0.1050000E+01     0.4879055E-01
     0.1100000E+01     0.9531091E-01
     0.1150000E+01     0.1397630E+00
     0.1200000E+01     0.1823229E+00
     0.1250000E+01     0.2231452E+00
     0.1300000E+01     0.2623662E+00
     0.1350000E+01     0.3001067E+00
     0.1400000E+01     0.3364746E+00
     0.1450000E+01     0.3715661E+00
     0.1500000E+01     0.4054679E+00
     0.1550000E+01     0.4382579E+00
     0.1600000E+01     0.4700067E+00
     0.1650000E+01     0.5007785E+00
     0.1700000E+01     0.5306317E+00
     0.1750000E+01     0.5596193E+00
     0.1800000E+01     0.5877903E+00
     0.1850000E+01     0.6151894E+00
     0.1900000E+01     0.6418578E+00
     0.1950000E+01     0.6678334E+00
     0.2000000E+01     0.6931513E+00
