#     tiempo   posicion       velocidad      acelaracion
         168   43747.20       520.8000       3.100000    
         169   44269.55       523.9000       3.100000    
         170   44795.00       527.0000       3.100000    
         171   45323.55       530.1000       3.100000    
         172   45855.20       533.2000       3.100000    
         173   46389.95       536.3000       3.100000    
         174   46927.80       539.4000       3.100000    
         175   47468.75       542.5000       3.100000    
         176   48012.80       545.6000       3.100000    
         177   48559.95       548.7000       3.100000    
         178   49110.20       551.8000       3.100000    
         179   49663.55       554.9000       3.100000    
         180   50220.00       558.0000       3.100000    
         181   50779.55       561.1000       3.100000    
         182   51342.20       564.2000       3.100000    
         183   51907.95       567.3000       3.100000    
         184   52476.80       570.4000       3.100000    
         185   53048.75       573.5000       3.100000    
         186   53623.80       576.6000       3.100000    
         187   54201.95       579.7000       3.100000    
         188   54783.20       582.8000       3.100000    
         189   55367.55       585.9000       3.100000    
         190   55955.00       589.0000       3.100000    
         191   56545.55       592.1000       3.100000    
         192   57139.20       595.2000       3.100000    
         193   57735.95       598.3000       3.100000    
         194   58335.80       601.4000       3.100000    
         195   58938.75       604.5000       3.100000    
         196   59544.80       607.6000       3.100000    
