   1  0.819767E-01
   2  0.207470E-01
   3  0.924216E-02
   4  0.520292E-02
   5  0.333111E-02
   6  0.231374E-02
   7  0.170010E-02
   8  0.130174E-02
   9  0.102859E-02
  10  0.833194E-03
  11  0.688610E-03
  12  0.578637E-03
  13  0.493048E-03
  14  0.425134E-03
  15  0.370343E-03
  16  0.325500E-03
  17  0.288334E-03
  18  0.257188E-03
  19  0.230830E-03
  20  0.208325E-03
  21  0.188957E-03
  22  0.172170E-03
  23  0.157525E-03
  24  0.144672E-03
  25  0.133330E-03
  26  0.123271E-03
  27  0.114309E-03
  28  0.106290E-03
  29  0.990864E-04
  30  0.925909E-04
  31  0.867137E-04
  32  0.813789E-04
  33  0.765216E-04
  34  0.720866E-04
  35  0.680263E-04
  36  0.642996E-04
  37  0.608709E-04
  38  0.577094E-04
  39  0.547879E-04
  40  0.520828E-04
  41  0.495732E-04
  42  0.472407E-04
  43  0.450690E-04
  44  0.430437E-04
  45  0.411519E-04
  46  0.393822E-04
  47  0.377242E-04
  48  0.361687E-04
  49  0.347075E-04
  50  0.333331E-04
  51  0.320388E-04
  52  0.308184E-04
  53  0.296664E-04
  54  0.285778E-04
  55  0.275481E-04
  56  0.265730E-04
  57  0.256488E-04
  58  0.247720E-04
  59  0.239394E-04
  60  0.231480E-04
  61  0.223953E-04
  62  0.216787E-04
  63  0.209960E-04
  64  0.203450E-04
  65  0.197238E-04
  66  0.191306E-04
  67  0.185638E-04
  68  0.180218E-04
  69  0.175033E-04
  70  0.170067E-04
  71  0.165311E-04
  72  0.160751E-04
  73  0.156377E-04
  74  0.152179E-04
  75  0.148148E-04
  76  0.144275E-04
  77  0.140552E-04
  78  0.136971E-04
  79  0.133525E-04
  80  0.130208E-04
  81  0.127013E-04
  82  0.123934E-04
  83  0.120965E-04
  84  0.118103E-04
  85  0.115340E-04
  86  0.112673E-04
  87  0.110098E-04
  88  0.107610E-04
  89  0.105205E-04
  90  0.102880E-04
  91  0.100632E-04
  92  0.984560E-05
  93  0.963501E-05
  94  0.943110E-05
  95  0.923359E-05
  96  0.904223E-05
  97  0.885675E-05
  98  0.867693E-05
  99  0.850252E-05
 100  0.833332E-05
   1  0.819767E-01
 101  0.816912E-05
 201  0.206265E-05
 301  0.919784E-06
 401  0.518239E-06
 501  0.332004E-06
 601  0.230712E-06
 701  0.169583E-06
 801  0.129883E-06
 901  0.102652E-06
1001  0.831669E-07
1101  0.687455E-07
1201  0.577740E-07
1301  0.492339E-07
1401  0.424563E-07
1501  0.369877E-07
1601  0.325114E-07
1701  0.288012E-07
1801  0.256916E-07
1901  0.230597E-07
2001  0.208125E-07
2101  0.188785E-07
2201  0.172020E-07
2301  0.157393E-07
2401  0.144555E-07
2501  0.133227E-07
2601  0.123179E-07
2701  0.114227E-07
2801  0.106217E-07
2901  0.990201E-08
