#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1000000E+00     0.9832898E+00    -0.3062251E-04     0.1749577E-02     0.1749575E-01     0.4593983E-09     0.9049998E-09     0.1810000E-08
     0.2000000E+00     0.9832852E+00    -0.6124493E-04     0.3499149E-02     0.1749567E-01     0.4593983E-09     0.9049998E-09     0.1810000E-08
     0.3000000E+00     0.9832776E+00    -0.9186714E-04     0.5248710E-02     0.1749553E-01     0.4593981E-09     0.9049998E-09     0.1810000E-08
     0.4000000E+00     0.9832668E+00    -0.1224891E-03     0.6998254E-02     0.1749534E-01     0.4593980E-09     0.9049996E-09     0.1809999E-08
     0.5000000E+00     0.9832531E+00    -0.1531106E-03     0.8747777E-02     0.1749510E-01     0.4593978E-09     0.9049995E-09     0.1809999E-08
     0.6000000E+00     0.9832362E+00    -0.1837316E-03     0.1049727E-01     0.1749480E-01     0.4593975E-09     0.9049993E-09     0.1809999E-08
     0.7000000E+00     0.9832163E+00    -0.2143520E-03     0.1224673E-01     0.1749445E-01     0.4593972E-09     0.9049990E-09     0.1809998E-08
     0.8000000E+00     0.9831933E+00    -0.2449717E-03     0.1399616E-01     0.1749404E-01     0.4593969E-09     0.9049987E-09     0.1809997E-08
     0.9000000E+00     0.9831673E+00    -0.2755906E-03     0.1574554E-01     0.1749357E-01     0.4593965E-09     0.9049984E-09     0.1809997E-08
     0.1000000E+01     0.9831382E+00    -0.3062086E-03     0.1749487E-01     0.1749306E-01     0.4593961E-09     0.9049980E-09     0.1809996E-08
     0.1100000E+01     0.9831061E+00    -0.3368256E-03     0.1924415E-01     0.1749248E-01     0.4593956E-09     0.9049975E-09     0.1809995E-08
     0.1200000E+01     0.9830709E+00    -0.3674415E-03     0.2099337E-01     0.1749186E-01     0.4593950E-09     0.9049971E-09     0.1809994E-08
     0.1300000E+01     0.9830326E+00    -0.3980562E-03     0.2274252E-01     0.1749118E-01     0.4593945E-09     0.9049965E-09     0.1809993E-08
     0.1400000E+01     0.9829913E+00    -0.4286697E-03     0.2449160E-01     0.1749044E-01     0.4593938E-09     0.9049959E-09     0.1809992E-08
     0.1500000E+01     0.9829469E+00    -0.4592817E-03     0.2624061E-01     0.1748965E-01     0.4593932E-09     0.9049953E-09     0.1809991E-08
     0.1600000E+01     0.9828994E+00    -0.4898922E-03     0.2798953E-01     0.1748881E-01     0.4593925E-09     0.9049947E-09     0.1809989E-08
     0.1700000E+01     0.9828489E+00    -0.5205011E-03     0.2973837E-01     0.1748791E-01     0.4593917E-09     0.9049939E-09     0.1809988E-08
     0.1800000E+01     0.9827953E+00    -0.5511083E-03     0.3148711E-01     0.1748696E-01     0.4593909E-09     0.9049932E-09     0.1809986E-08
     0.1900000E+01     0.9827387E+00    -0.5817137E-03     0.3323576E-01     0.1748595E-01     0.4593900E-09     0.9049924E-09     0.1809985E-08
     0.2000000E+01     0.9826790E+00    -0.6123172E-03     0.3498430E-01     0.1748489E-01     0.4593891E-09     0.9049915E-09     0.1809983E-08
     0.2100000E+01     0.9826162E+00    -0.6429187E-03     0.3673273E-01     0.1748377E-01     0.4593882E-09     0.9049906E-09     0.1809981E-08
     0.2200000E+01     0.9825504E+00    -0.6735181E-03     0.3848105E-01     0.1748260E-01     0.4593872E-09     0.9049897E-09     0.1809979E-08
     0.2300000E+01     0.9824815E+00    -0.7041153E-03     0.4022925E-01     0.1748137E-01     0.4593862E-09     0.9049887E-09     0.1809977E-08
     0.2400000E+01     0.9824095E+00    -0.7347102E-03     0.4197732E-01     0.1748009E-01     0.4593851E-09     0.9049876E-09     0.1809975E-08
     0.2500000E+01     0.9823345E+00    -0.7653027E-03     0.4372527E-01     0.1747876E-01     0.4593840E-09     0.9049866E-09     0.1809973E-08
     0.2600000E+01     0.9822565E+00    -0.7958926E-03     0.4547307E-01     0.1747737E-01     0.4593828E-09     0.9049854E-09     0.1809971E-08
     0.2700000E+01     0.9821754E+00    -0.8264800E-03     0.4722074E-01     0.1747593E-01     0.4593816E-09     0.9049842E-09     0.1809968E-08
     0.2800000E+01     0.9820912E+00    -0.8570647E-03     0.4896826E-01     0.1747443E-01     0.4593803E-09     0.9049830E-09     0.1809966E-08
     0.2900000E+01     0.9820040E+00    -0.8876466E-03     0.5071562E-01     0.1747288E-01     0.4593790E-09     0.9049818E-09     0.1809964E-08
     0.3000000E+01     0.9819137E+00    -0.9182256E-03     0.5246283E-01     0.1747127E-01     0.4593776E-09     0.9049804E-09     0.1809961E-08
     0.3100000E+01     0.9818203E+00    -0.9488016E-03     0.5420988E-01     0.1746961E-01     0.4593762E-09     0.9049791E-09     0.1809958E-08
     0.3200000E+01     0.9817239E+00    -0.9793745E-03     0.5595675E-01     0.1746790E-01     0.4593748E-09     0.9049777E-09     0.1809955E-08
     0.3300000E+01     0.9816244E+00    -0.1009944E-02     0.5770345E-01     0.1746613E-01     0.4593733E-09     0.9049762E-09     0.1809952E-08
     0.3400000E+01     0.9815219E+00    -0.1040511E-02     0.5944997E-01     0.1746430E-01     0.4593717E-09     0.9049747E-09     0.1809949E-08
     0.3500000E+01     0.9814163E+00    -0.1071074E-02     0.6119631E-01     0.1746243E-01     0.4593701E-09     0.9049732E-09     0.1809946E-08
     0.3600000E+01     0.9813077E+00    -0.1101633E-02     0.6294246E-01     0.1746049E-01     0.4593685E-09     0.9049716E-09     0.1809943E-08
     0.3700000E+01     0.9811960E+00    -0.1132189E-02     0.6468841E-01     0.1745851E-01     0.4593668E-09     0.9049699E-09     0.1809940E-08
     0.3800000E+01     0.9810813E+00    -0.1162741E-02     0.6643416E-01     0.1745647E-01     0.4593651E-09     0.9049683E-09     0.1809937E-08
     0.3900000E+01     0.9809635E+00    -0.1193290E-02     0.6817970E-01     0.1745437E-01     0.4593633E-09     0.9049665E-09     0.1809933E-08
     0.4000000E+01     0.9808426E+00    -0.1223834E-02     0.6992503E-01     0.1745222E-01     0.4593615E-09     0.9049648E-09     0.1809930E-08
     0.4100000E+01     0.9807187E+00    -0.1254375E-02     0.7167014E-01     0.1745002E-01     0.4593596E-09     0.9049629E-09     0.1809926E-08
     0.4200000E+01     0.9805917E+00    -0.1284911E-02     0.7341503E-01     0.1744776E-01     0.4593577E-09     0.9049611E-09     0.1809922E-08
     0.4300000E+01     0.9804617E+00    -0.1315443E-02     0.7515969E-01     0.1744544E-01     0.4593558E-09     0.9049591E-09     0.1809918E-08
     0.4400000E+01     0.9803286E+00    -0.1345971E-02     0.7690412E-01     0.1744308E-01     0.4593537E-09     0.9049572E-09     0.1809914E-08
     0.4500000E+01     0.9801925E+00    -0.1376495E-02     0.7864831E-01     0.1744066E-01     0.4593517E-09     0.9049552E-09     0.1809910E-08
     0.4600000E+01     0.9800533E+00    -0.1407014E-02     0.8039225E-01     0.1743818E-01     0.4593496E-09     0.9049531E-09     0.1809906E-08
     0.4700000E+01     0.9799111E+00    -0.1437528E-02     0.8213594E-01     0.1743565E-01     0.4593475E-09     0.9049510E-09     0.1809902E-08
     0.4800000E+01     0.9797658E+00    -0.1468038E-02     0.8387938E-01     0.1743307E-01     0.4593453E-09     0.9049489E-09     0.1809898E-08
     0.4900000E+01     0.9796175E+00    -0.1498543E-02     0.8562255E-01     0.1743043E-01     0.4593430E-09     0.9049467E-09     0.1809893E-08
     0.5000000E+01     0.9794661E+00    -0.1529043E-02     0.8736546E-01     0.1742774E-01     0.4593408E-09     0.9049445E-09     0.1809889E-08
     0.5100000E+01     0.9793117E+00    -0.1559538E-02     0.8910810E-01     0.1742499E-01     0.4593384E-09     0.9049422E-09     0.1809884E-08
     0.5200000E+01     0.9791542E+00    -0.1590028E-02     0.9085046E-01     0.1742219E-01     0.4593361E-09     0.9049399E-09     0.1809880E-08
     0.5300000E+01     0.9789937E+00    -0.1620512E-02     0.9259253E-01     0.1741933E-01     0.4593336E-09     0.9049375E-09     0.1809875E-08
     0.5400000E+01     0.9788301E+00    -0.1650992E-02     0.9433432E-01     0.1741642E-01     0.4593312E-09     0.9049351E-09     0.1809870E-08
     0.5500000E+01     0.9786635E+00    -0.1681466E-02     0.9607582E-01     0.1741346E-01     0.4593287E-09     0.9049326E-09     0.1809865E-08
     0.5600000E+01     0.9784938E+00    -0.1711934E-02     0.9781701E-01     0.1741044E-01     0.4593261E-09     0.9049301E-09     0.1809860E-08
     0.5700000E+01     0.9783211E+00    -0.1742397E-02     0.9955790E-01     0.1740737E-01     0.4593235E-09     0.9049275E-09     0.1809855E-08
     0.5800000E+01     0.9781453E+00    -0.1772855E-02     0.1012985E+00     0.1740424E-01     0.4593209E-09     0.9049249E-09     0.1809850E-08
     0.5900000E+01     0.9779665E+00    -0.1803306E-02     0.1030387E+00     0.1740106E-01     0.4593182E-09     0.9049223E-09     0.1809845E-08
     0.6000000E+01     0.9777847E+00    -0.1833752E-02     0.1047787E+00     0.1739783E-01     0.4593154E-09     0.9049196E-09     0.1809839E-08
