# Los datos iniciales son: theta = .15rad l = 12.00m m = 1.00kg.
# t         pos ang         vel ang
0.15991E+01  0.20669E-01  -.13426E+00
0.16130E+01  0.18800E-01  -.13449E+00
0.16269E+01  0.16928E-01  -.13469E+00
0.16409E+01  0.15054E-01  -.13487E+00
0.16548E+01  0.13178E-01  -.13503E+00
0.16687E+01  0.11299E-01  -.13517E+00
0.16826E+01  0.94186E-02  -.13529E+00
0.16965E+01  0.75367E-02  -.13538E+00
0.17104E+01  0.56535E-02  -.13546E+00
0.17243E+01  0.37695E-02  -.13551E+00
0.17382E+01  0.18849E-02  -.13554E+00
0.17521E+01  0.11325E-07  -.13555E+00
0.17660E+01  -.18849E-02  -.13554E+00
0.17799E+01  -.37695E-02  -.13551E+00
0.17938E+01  -.56535E-02  -.13546E+00
0.18077E+01  -.75366E-02  -.13538E+00
0.18216E+01  -.94186E-02  -.13529E+00
0.18355E+01  -.11299E-01  -.13517E+00
0.18494E+01  -.13178E-01  -.13503E+00
0.18633E+01  -.15054E-01  -.13487E+00
0.18772E+01  -.16928E-01  -.13469E+00
0.18912E+01  -.18800E-01  -.13449E+00
0.19051E+01  -.20669E-01  -.13426E+00
0.19190E+01  -.22534E-01  -.13402E+00
0.19329E+01  -.24396E-01  -.13375E+00
0.19468E+01  -.26253E-01  -.13346E+00
0.19607E+01  -.28107E-01  -.13315E+00
0.19746E+01  -.29956E-01  -.13282E+00
0.19885E+01  -.31801E-01  -.13247E+00
0.20024E+01  -.33641E-01  -.13210E+00
0.20163E+01  -.35475E-01  -.13171E+00
0.20302E+01  -.37303E-01  -.13130E+00
0.20441E+01  -.39126E-01  -.13086E+00
0.20580E+01  -.40943E-01  -.13041E+00
0.20719E+01  -.42753E-01  -.12993E+00
0.20858E+01  -.44556E-01  -.12944E+00
0.20997E+01  -.46353E-01  -.12892E+00
0.21136E+01  -.48142E-01  -.12838E+00
0.21275E+01  -.49923E-01  -.12783E+00
0.21415E+01  -.51696E-01  -.12725E+00
0.21554E+01  -.53462E-01  -.12665E+00
0.21693E+01  -.55219E-01  -.12604E+00
0.21832E+01  -.56967E-01  -.12540E+00
0.21971E+01  -.58706E-01  -.12474E+00
0.22110E+01  -.60436E-01  -.12406E+00
0.22249E+01  -.62156E-01  -.12337E+00
0.22388E+01  -.63867E-01  -.12265E+00
0.22527E+01  -.65567E-01  -.12192E+00
0.22666E+01  -.67257E-01  -.12116E+00
0.22805E+01  -.68937E-01  -.12039E+00
0.22944E+01  -.70606E-01  -.11960E+00
0.23083E+01  -.72263E-01  -.11879E+00
0.23222E+01  -.73909E-01  -.11796E+00
0.23361E+01  -.75543E-01  -.11711E+00
0.23500E+01  -.77166E-01  -.11624E+00
0.23639E+01  -.78776E-01  -.11536E+00
0.23778E+01  -.80374E-01  -.11445E+00
0.23918E+01  -.81959E-01  -.11353E+00
0.24057E+01  -.83531E-01  -.11259E+00
0.24196E+01  -.85090E-01  -.11163E+00
0.24335E+01  -.86636E-01  -.11066E+00
0.24474E+01  -.88168E-01  -.10967E+00
0.24613E+01  -.89686E-01  -.10866E+00
0.24752E+01  -.91190E-01  -.10763E+00
0.24891E+01  -.92679E-01  -.10658E+00
0.25030E+01  -.94154E-01  -.10552E+00
0.25169E+01  -.95614E-01  -.10445E+00
0.25308E+01  -.97058E-01  -.10335E+00
0.25447E+01  -.98488E-01  -.10224E+00
0.25586E+01  -.99902E-01  -.10112E+00
0.25725E+01  -.10130E+00  -.99973E-01
0.25864E+01  -.10268E+00  -.98815E-01
0.26003E+01  -.10405E+00  -.97641E-01
0.26142E+01  -.10540E+00  -.96452E-01
0.26281E+01  -.10673E+00  -.95247E-01
0.26421E+01  -.10805E+00  -.94028E-01
0.26560E+01  -.10935E+00  -.92793E-01
0.26699E+01  -.11063E+00  -.91544E-01
0.26838E+01  -.11189E+00  -.90281E-01
0.26977E+01  -.11314E+00  -.89003E-01
0.27116E+01  -.11437E+00  -.87711E-01
0.27255E+01  -.11558E+00  -.86406E-01
0.27394E+01  -.11677E+00  -.85086E-01
0.27533E+01  -.11794E+00  -.83754E-01
0.27672E+01  -.11910E+00  -.82408E-01
0.27811E+01  -.12024E+00  -.81049E-01
0.27950E+01  -.12135E+00  -.79677E-01
0.28089E+01  -.12245E+00  -.78293E-01
0.28228E+01  -.12353E+00  -.76896E-01
0.28367E+01  -.12459E+00  -.75487E-01
0.28506E+01  -.12563E+00  -.74066E-01
0.28645E+01  -.12665E+00  -.72634E-01
0.28784E+01  -.12765E+00  -.71190E-01
0.28923E+01  -.12863E+00  -.69735E-01
0.29063E+01  -.12959E+00  -.68268E-01
0.29202E+01  -.13053E+00  -.66791E-01
0.29341E+01  -.13145E+00  -.65304E-01
0.29480E+01  -.13234E+00  -.63806E-01
0.29619E+01  -.13322E+00  -.62298E-01
0.29758E+01  -.13408E+00  -.60780E-01
0.29897E+01  -.13491E+00  -.59253E-01
0.30036E+01  -.13572E+00  -.57716E-01
0.30175E+01  -.13652E+00  -.56170E-01
0.30314E+01  -.13729E+00  -.54616E-01
0.30453E+01  -.13803E+00  -.53052E-01
0.30592E+01  -.13876E+00  -.51481E-01
0.30731E+01  -.13947E+00  -.49901E-01
0.30870E+01  -.14015E+00  -.48313E-01
0.31009E+01  -.14081E+00  -.46718E-01
