#          r               U
     0.9953190E+00     0.8926521E-09
     0.9953469E+00     0.8926270E-09
     0.9953748E+00     0.8926020E-09
     0.9954028E+00     0.8925769E-09
     0.9954307E+00     0.8925519E-09
     0.9954587E+00     0.8925268E-09
     0.9954867E+00     0.8925017E-09
     0.9955147E+00     0.8924766E-09
     0.9955427E+00     0.8924515E-09
     0.9955707E+00     0.8924264E-09
     0.9955988E+00     0.8924012E-09
     0.9956268E+00     0.8923761E-09
     0.9956549E+00     0.8923510E-09
     0.9956829E+00     0.8923258E-09
     0.9957110E+00     0.8923006E-09
     0.9957391E+00     0.8922754E-09
     0.9957672E+00     0.8922503E-09
     0.9957954E+00     0.8922251E-09
     0.9958235E+00     0.8921999E-09
     0.9958516E+00     0.8921746E-09
     0.9958798E+00     0.8921494E-09
     0.9959080E+00     0.8921242E-09
     0.9959362E+00     0.8920989E-09
     0.9959644E+00     0.8920737E-09
     0.9959926E+00     0.8920484E-09
     0.9960208E+00     0.8920231E-09
     0.9960490E+00     0.8919979E-09
     0.9960772E+00     0.8919726E-09
     0.9961055E+00     0.8919473E-09
     0.9961338E+00     0.8919220E-09
     0.9961620E+00     0.8918966E-09
     0.9961903E+00     0.8918713E-09
     0.9962186E+00     0.8918460E-09
     0.9962469E+00     0.8918206E-09
     0.9962752E+00     0.8917953E-09
     0.9963036E+00     0.8917699E-09
     0.9963319E+00     0.8917446E-09
     0.9963603E+00     0.8917192E-09
     0.9963886E+00     0.8916938E-09
     0.9964170E+00     0.8916684E-09
     0.9964454E+00     0.8916430E-09
     0.9964738E+00     0.8916176E-09
     0.9965022E+00     0.8915922E-09
     0.9965306E+00     0.8915668E-09
     0.9965590E+00     0.8915414E-09
     0.9965874E+00     0.8915159E-09
     0.9966159E+00     0.8914905E-09
     0.9966443E+00     0.8914650E-09
     0.9966728E+00     0.8914396E-09
     0.9967013E+00     0.8914141E-09
     0.9967297E+00     0.8913886E-09
     0.9967582E+00     0.8913632E-09
     0.9967867E+00     0.8913377E-09
     0.9968152E+00     0.8913122E-09
     0.9968438E+00     0.8912867E-09
     0.9968723E+00     0.8912612E-09
     0.9969008E+00     0.8912357E-09
     0.9969294E+00     0.8912102E-09
     0.9969579E+00     0.8911846E-09
     0.9969865E+00     0.8911591E-09
     0.9970150E+00     0.8911336E-09
     0.9970436E+00     0.8911080E-09
     0.9970722E+00     0.8910825E-09
     0.9971008E+00     0.8910569E-09
     0.9971294E+00     0.8910314E-09
     0.9971580E+00     0.8910058E-09
     0.9971866E+00     0.8909802E-09
     0.9972153E+00     0.8909546E-09
     0.9972439E+00     0.8909291E-09
     0.9972725E+00     0.8909035E-09
     0.9973012E+00     0.8908779E-09
     0.9973299E+00     0.8908523E-09
     0.9973585E+00     0.8908267E-09
     0.9973872E+00     0.8908011E-09
     0.9974159E+00     0.8907754E-09
     0.9974446E+00     0.8907498E-09
     0.9974733E+00     0.8907242E-09
     0.9975020E+00     0.8906986E-09
     0.9975307E+00     0.8906729E-09
     0.9975594E+00     0.8906473E-09
     0.9975881E+00     0.8906217E-09
     0.9976168E+00     0.8905960E-09
     0.9976456E+00     0.8905704E-09
     0.9976743E+00     0.8905447E-09
     0.9977031E+00     0.8905190E-09
     0.9977318E+00     0.8904934E-09
     0.9977606E+00     0.8904677E-09
     0.9977894E+00     0.8904420E-09
     0.9978181E+00     0.8904163E-09
     0.9978469E+00     0.8903907E-09
     0.9978757E+00     0.8903650E-09
     0.9979045E+00     0.8903393E-09
     0.9979333E+00     0.8903136E-09
     0.9979621E+00     0.8902879E-09
     0.9979909E+00     0.8902622E-09
     0.9980197E+00     0.8902365E-09
     0.9980485E+00     0.8902108E-09
     0.9980774E+00     0.8901851E-09
     0.9981062E+00     0.8901594E-09
     0.9981350E+00     0.8901336E-09
     0.9981639E+00     0.8901079E-09
     0.9981927E+00     0.8900822E-09
     0.9982216E+00     0.8900565E-09
     0.9982504E+00     0.8900307E-09
     0.9982793E+00     0.8900050E-09
     0.9983082E+00     0.8899793E-09
     0.9983370E+00     0.8899535E-09
     0.9983659E+00     0.8899278E-09
     0.9983948E+00     0.8899020E-09
     0.9984237E+00     0.8898763E-09
     0.9984526E+00     0.8898506E-09
     0.9984815E+00     0.8898248E-09
     0.9985104E+00     0.8897991E-09
     0.9985393E+00     0.8897733E-09
     0.9985682E+00     0.8897475E-09
     0.9985971E+00     0.8897218E-09
     0.9986260E+00     0.8896960E-09
     0.9986549E+00     0.8896703E-09
     0.9986838E+00     0.8896445E-09
     0.9987128E+00     0.8896187E-09
     0.9987417E+00     0.8895930E-09
     0.9987706E+00     0.8895672E-09
     0.9987995E+00     0.8895414E-09
     0.9988285E+00     0.8895157E-09
     0.9988574E+00     0.8894899E-09
     0.9988864E+00     0.8894641E-09
     0.9989153E+00     0.8894383E-09
     0.9989443E+00     0.8894126E-09
     0.9989732E+00     0.8893868E-09
     0.9990022E+00     0.8893610E-09
     0.9990311E+00     0.8893352E-09
     0.9990601E+00     0.8893095E-09
     0.9990890E+00     0.8892837E-09
     0.9991180E+00     0.8892579E-09
     0.9991470E+00     0.8892321E-09
     0.9991759E+00     0.8892063E-09
     0.9992049E+00     0.8891806E-09
     0.9992339E+00     0.8891548E-09
     0.9992629E+00     0.8891290E-09
     0.9992918E+00     0.8891032E-09
     0.9993208E+00     0.8890774E-09
     0.9993498E+00     0.8890517E-09
     0.9993788E+00     0.8890259E-09
     0.9994077E+00     0.8890001E-09
     0.9994367E+00     0.8889743E-09
     0.9994657E+00     0.8889485E-09
     0.9994947E+00     0.8889227E-09
     0.9995237E+00     0.8888970E-09
     0.9995527E+00     0.8888712E-09
     0.9995817E+00     0.8888454E-09
     0.9996106E+00     0.8888196E-09
     0.9996396E+00     0.8887939E-09
     0.9996686E+00     0.8887681E-09
     0.9996976E+00     0.8887423E-09
     0.9997266E+00     0.8887165E-09
     0.9997556E+00     0.8886908E-09
     0.9997846E+00     0.8886650E-09
     0.9998136E+00     0.8886392E-09
     0.9998426E+00     0.8886135E-09
     0.9998716E+00     0.8885877E-09
     0.9999006E+00     0.8885619E-09
     0.9999296E+00     0.8885362E-09
     0.9999586E+00     0.8885104E-09
     0.9999875E+00     0.8884846E-09
     0.1000017E+01     0.8884589E-09
     0.1000046E+01     0.8884331E-09
     0.1000075E+01     0.8884074E-09
     0.1000104E+01     0.8883816E-09
     0.1000132E+01     0.8883559E-09
     0.1000161E+01     0.8883301E-09
     0.1000190E+01     0.8883044E-09
     0.1000219E+01     0.8882786E-09
     0.1000248E+01     0.8882529E-09
     0.1000277E+01     0.8882272E-09
     0.1000306E+01     0.8882014E-09
     0.1000335E+01     0.8881757E-09
     0.1000364E+01     0.8881500E-09
     0.1000393E+01     0.8881242E-09
     0.1000422E+01     0.8880985E-09
     0.1000451E+01     0.8880728E-09
     0.1000480E+01     0.8880471E-09
     0.1000509E+01     0.8880213E-09
     0.1000538E+01     0.8879956E-09
     0.1000567E+01     0.8879699E-09
     0.1000596E+01     0.8879442E-09
     0.1000625E+01     0.8879185E-09
     0.1000654E+01     0.8878928E-09
     0.1000683E+01     0.8878671E-09
     0.1000712E+01     0.8878414E-09
     0.1000741E+01     0.8878157E-09
     0.1000770E+01     0.8877901E-09
     0.1000799E+01     0.8877644E-09
     0.1000828E+01     0.8877387E-09
     0.1000857E+01     0.8877130E-09
     0.1000886E+01     0.8876874E-09
     0.1000915E+01     0.8876617E-09
     0.1000944E+01     0.8876360E-09
     0.1000972E+01     0.8876104E-09
     0.1001001E+01     0.8875847E-09
     0.1001030E+01     0.8875591E-09
     0.1001059E+01     0.8875334E-09
     0.1001088E+01     0.8875078E-09
     0.1001117E+01     0.8874822E-09
     0.1001146E+01     0.8874565E-09
     0.1001175E+01     0.8874309E-09
     0.1001204E+01     0.8874053E-09
     0.1001233E+01     0.8873797E-09
     0.1001262E+01     0.8873541E-09
     0.1001291E+01     0.8873285E-09
     0.1001319E+01     0.8873029E-09
     0.1001348E+01     0.8872773E-09
     0.1001377E+01     0.8872517E-09
     0.1001406E+01     0.8872261E-09
     0.1001435E+01     0.8872005E-09
     0.1001464E+01     0.8871750E-09
     0.1001493E+01     0.8871494E-09
     0.1001521E+01     0.8871238E-09
     0.1001550E+01     0.8870983E-09
     0.1001579E+01     0.8870727E-09
     0.1001608E+01     0.8870472E-09
     0.1001637E+01     0.8870217E-09
     0.1001666E+01     0.8869961E-09
     0.1001694E+01     0.8869706E-09
     0.1001723E+01     0.8869451E-09
     0.1001752E+01     0.8869196E-09
     0.1001781E+01     0.8868941E-09
     0.1001810E+01     0.8868686E-09
     0.1001839E+01     0.8868431E-09
     0.1001867E+01     0.8868176E-09
     0.1001896E+01     0.8867921E-09
     0.1001925E+01     0.8867667E-09
     0.1001954E+01     0.8867412E-09
     0.1001982E+01     0.8867157E-09
     0.1002011E+01     0.8866903E-09
     0.1002040E+01     0.8866648E-09
     0.1002069E+01     0.8866394E-09
     0.1002097E+01     0.8866140E-09
     0.1002126E+01     0.8865886E-09
     0.1002155E+01     0.8865631E-09
     0.1002184E+01     0.8865377E-09
     0.1002212E+01     0.8865123E-09
     0.1002241E+01     0.8864869E-09
     0.1002270E+01     0.8864616E-09
     0.1002298E+01     0.8864362E-09
     0.1002327E+01     0.8864108E-09
     0.1002356E+01     0.8863854E-09
     0.1002384E+01     0.8863601E-09
     0.1002413E+01     0.8863347E-09
     0.1002442E+01     0.8863094E-09
     0.1002470E+01     0.8862841E-09
     0.1002499E+01     0.8862588E-09
     0.1002528E+01     0.8862335E-09
     0.1002556E+01     0.8862081E-09
     0.1002585E+01     0.8861829E-09
     0.1002614E+01     0.8861576E-09
     0.1002642E+01     0.8861323E-09
     0.1002671E+01     0.8861070E-09
     0.1002699E+01     0.8860818E-09
     0.1002728E+01     0.8860565E-09
     0.1002756E+01     0.8860313E-09
     0.1002785E+01     0.8860060E-09
     0.1002814E+01     0.8859808E-09
     0.1002842E+01     0.8859556E-09
     0.1002871E+01     0.8859304E-09
     0.1002899E+01     0.8859052E-09
     0.1002928E+01     0.8858800E-09
     0.1002956E+01     0.8858548E-09
     0.1002985E+01     0.8858296E-09
     0.1003013E+01     0.8858045E-09
     0.1003042E+01     0.8857793E-09
     0.1003070E+01     0.8857542E-09
     0.1003099E+01     0.8857291E-09
     0.1003127E+01     0.8857039E-09
     0.1003155E+01     0.8856788E-09
     0.1003184E+01     0.8856537E-09
     0.1003212E+01     0.8856286E-09
     0.1003241E+01     0.8856036E-09
     0.1003269E+01     0.8855785E-09
     0.1003298E+01     0.8855534E-09
     0.1003326E+01     0.8855284E-09
     0.1003354E+01     0.8855033E-09
     0.1003383E+01     0.8854783E-09
     0.1003411E+01     0.8854533E-09
     0.1003439E+01     0.8854283E-09
     0.1003468E+01     0.8854033E-09
     0.1003496E+01     0.8853783E-09
     0.1003524E+01     0.8853533E-09
     0.1003553E+01     0.8853283E-09
     0.1003581E+01     0.8853034E-09
     0.1003609E+01     0.8852784E-09
     0.1003637E+01     0.8852535E-09
     0.1003666E+01     0.8852286E-09
     0.1003694E+01     0.8852037E-09
     0.1003722E+01     0.8851788E-09
     0.1003750E+01     0.8851539E-09
     0.1003779E+01     0.8851290E-09
     0.1003807E+01     0.8851042E-09
     0.1003835E+01     0.8850793E-09
     0.1003863E+01     0.8850545E-09
     0.1003891E+01     0.8850296E-09
     0.1003919E+01     0.8850048E-09
     0.1003948E+01     0.8849800E-09
     0.1003976E+01     0.8849552E-09
     0.1004004E+01     0.8849304E-09
     0.1004032E+01     0.8849057E-09
     0.1004060E+01     0.8848809E-09
     0.1004088E+01     0.8848562E-09
     0.1004116E+01     0.8848314E-09
     0.1004144E+01     0.8848067E-09
     0.1004172E+01     0.8847820E-09
     0.1004200E+01     0.8847573E-09
     0.1004228E+01     0.8847326E-09
     0.1004256E+01     0.8847079E-09
     0.1004284E+01     0.8846833E-09
     0.1004312E+01     0.8846586E-09
     0.1004340E+01     0.8846340E-09
     0.1004368E+01     0.8846094E-09
     0.1004396E+01     0.8845848E-09
     0.1004424E+01     0.8845602E-09
     0.1004452E+01     0.8845356E-09
     0.1004480E+01     0.8845110E-09
     0.1004508E+01     0.8844865E-09
     0.1004536E+01     0.8844619E-09
     0.1004564E+01     0.8844374E-09
     0.1004591E+01     0.8844129E-09
     0.1004619E+01     0.8843884E-09
     0.1004647E+01     0.8843639E-09
     0.1004675E+01     0.8843394E-09
     0.1004703E+01     0.8843150E-09
     0.1004730E+01     0.8842905E-09
     0.1004758E+01     0.8842661E-09
     0.1004786E+01     0.8842417E-09
     0.1004814E+01     0.8842173E-09
     0.1004841E+01     0.8841929E-09
     0.1004869E+01     0.8841685E-09
     0.1004897E+01     0.8841442E-09
     0.1004924E+01     0.8841198E-09
     0.1004952E+01     0.8840955E-09
     0.1004980E+01     0.8840712E-09
     0.1005007E+01     0.8840469E-09
     0.1005035E+01     0.8840226E-09
     0.1005063E+01     0.8839983E-09
     0.1005090E+01     0.8839740E-09
     0.1005118E+01     0.8839498E-09
     0.1005145E+01     0.8839255E-09
     0.1005173E+01     0.8839013E-09
     0.1005200E+01     0.8838771E-09
     0.1005228E+01     0.8838529E-09
     0.1005255E+01     0.8838288E-09
     0.1005283E+01     0.8838046E-09
     0.1005310E+01     0.8837805E-09
     0.1005338E+01     0.8837564E-09
     0.1005365E+01     0.8837322E-09
     0.1005393E+01     0.8837081E-09
     0.1005420E+01     0.8836841E-09
     0.1005447E+01     0.8836600E-09
     0.1005475E+01     0.8836360E-09
     0.1005502E+01     0.8836119E-09
     0.1005529E+01     0.8835879E-09
     0.1005557E+01     0.8835639E-09
     0.1005584E+01     0.8835399E-09
     0.1005611E+01     0.8835160E-09
     0.1005639E+01     0.8834920E-09
     0.1005666E+01     0.8834681E-09
     0.1005693E+01     0.8834441E-09
     0.1005720E+01     0.8834202E-09
     0.1005747E+01     0.8833964E-09
     0.1005775E+01     0.8833725E-09
     0.1005802E+01     0.8833486E-09
     0.1005829E+01     0.8833248E-09
     0.1005856E+01     0.8833010E-09
     0.1005883E+01     0.8832772E-09
     0.1005910E+01     0.8832534E-09
     0.1005937E+01     0.8832296E-09
     0.1005964E+01     0.8832058E-09
     0.1005991E+01     0.8831821E-09
     0.1006018E+01     0.8831584E-09
     0.1006045E+01     0.8831347E-09
     0.1006072E+01     0.8831110E-09
     0.1006099E+01     0.8830873E-09
     0.1006126E+01     0.8830637E-09
     0.1006153E+01     0.8830400E-09
     0.1006180E+01     0.8830164E-09
     0.1006207E+01     0.8829928E-09
     0.1006234E+01     0.8829692E-09
     0.1006261E+01     0.8829457E-09
     0.1006288E+01     0.8829221E-09
     0.1006314E+01     0.8828986E-09
     0.1006341E+01     0.8828751E-09
     0.1006368E+01     0.8828516E-09
     0.1006395E+01     0.8828281E-09
     0.1006422E+01     0.8828046E-09
     0.1006448E+01     0.8827812E-09
     0.1006475E+01     0.8827578E-09
     0.1006502E+01     0.8827344E-09
     0.1006528E+01     0.8827110E-09
     0.1006555E+01     0.8826876E-09
     0.1006582E+01     0.8826642E-09
     0.1006608E+01     0.8826409E-09
     0.1006635E+01     0.8826176E-09
     0.1006661E+01     0.8825943E-09
     0.1006688E+01     0.8825710E-09
     0.1006714E+01     0.8825478E-09
     0.1006741E+01     0.8825245E-09
     0.1006767E+01     0.8825013E-09
     0.1006794E+01     0.8824781E-09
     0.1006820E+01     0.8824549E-09
     0.1006847E+01     0.8824318E-09
     0.1006873E+01     0.8824086E-09
     0.1006900E+01     0.8823855E-09
     0.1006926E+01     0.8823624E-09
     0.1006952E+01     0.8823393E-09
     0.1006979E+01     0.8823162E-09
     0.1007005E+01     0.8822932E-09
     0.1007031E+01     0.8822701E-09
     0.1007057E+01     0.8822471E-09
     0.1007084E+01     0.8822241E-09
     0.1007110E+01     0.8822012E-09
     0.1007136E+01     0.8821782E-09
     0.1007162E+01     0.8821553E-09
     0.1007189E+01     0.8821324E-09
     0.1007215E+01     0.8821095E-09
     0.1007241E+01     0.8820866E-09
     0.1007267E+01     0.8820637E-09
     0.1007293E+01     0.8820409E-09
     0.1007319E+01     0.8820181E-09
     0.1007345E+01     0.8819953E-09
     0.1007371E+01     0.8819725E-09
     0.1007397E+01     0.8819498E-09
     0.1007423E+01     0.8819270E-09
     0.1007449E+01     0.8819043E-09
     0.1007475E+01     0.8818816E-09
     0.1007501E+01     0.8818589E-09
     0.1007527E+01     0.8818363E-09
     0.1007553E+01     0.8818137E-09
     0.1007578E+01     0.8817911E-09
     0.1007604E+01     0.8817685E-09
     0.1007630E+01     0.8817459E-09
     0.1007656E+01     0.8817233E-09
     0.1007681E+01     0.8817008E-09
     0.1007707E+01     0.8816783E-09
     0.1007733E+01     0.8816558E-09
     0.1007759E+01     0.8816334E-09
     0.1007784E+01     0.8816109E-09
     0.1007810E+01     0.8815885E-09
     0.1007835E+01     0.8815661E-09
     0.1007861E+01     0.8815437E-09
     0.1007887E+01     0.8815214E-09
     0.1007912E+01     0.8814990E-09
     0.1007938E+01     0.8814767E-09
     0.1007963E+01     0.8814544E-09
     0.1007989E+01     0.8814321E-09
     0.1008014E+01     0.8814099E-09
     0.1008039E+01     0.8813877E-09
     0.1008065E+01     0.8813655E-09
     0.1008090E+01     0.8813433E-09
     0.1008116E+01     0.8813211E-09
     0.1008141E+01     0.8812990E-09
     0.1008166E+01     0.8812769E-09
     0.1008192E+01     0.8812548E-09
     0.1008217E+01     0.8812327E-09
     0.1008242E+01     0.8812106E-09
     0.1008267E+01     0.8811886E-09
     0.1008292E+01     0.8811666E-09
     0.1008318E+01     0.8811446E-09
     0.1008343E+01     0.8811226E-09
     0.1008368E+01     0.8811007E-09
     0.1008393E+01     0.8810788E-09
     0.1008418E+01     0.8810569E-09
     0.1008443E+01     0.8810350E-09
     0.1008468E+01     0.8810132E-09
     0.1008493E+01     0.8809913E-09
     0.1008518E+01     0.8809695E-09
     0.1008543E+01     0.8809477E-09
     0.1008568E+01     0.8809260E-09
     0.1008593E+01     0.8809043E-09
     0.1008618E+01     0.8808825E-09
     0.1008642E+01     0.8808609E-09
     0.1008667E+01     0.8808392E-09
     0.1008692E+01     0.8808175E-09
     0.1008717E+01     0.8807959E-09
     0.1008741E+01     0.8807743E-09
     0.1008766E+01     0.8807528E-09
     0.1008791E+01     0.8807312E-09
     0.1008816E+01     0.8807097E-09
     0.1008840E+01     0.8806882E-09
     0.1008865E+01     0.8806667E-09
     0.1008889E+01     0.8806452E-09
     0.1008914E+01     0.8806238E-09
     0.1008938E+01     0.8806024E-09
     0.1008963E+01     0.8805810E-09
     0.1008987E+01     0.8805597E-09
     0.1009012E+01     0.8805383E-09
     0.1009036E+01     0.8805170E-09
     0.1009061E+01     0.8804957E-09
     0.1009085E+01     0.8804745E-09
     0.1009109E+01     0.8804532E-09
     0.1009134E+01     0.8804320E-09
     0.1009158E+01     0.8804108E-09
     0.1009182E+01     0.8803896E-09
     0.1009206E+01     0.8803685E-09
     0.1009231E+01     0.8803474E-09
     0.1009255E+01     0.8803263E-09
     0.1009279E+01     0.8803052E-09
     0.1009303E+01     0.8802842E-09
     0.1009327E+01     0.8802632E-09
     0.1009351E+01     0.8802422E-09
     0.1009375E+01     0.8802212E-09
     0.1009399E+01     0.8802003E-09
     0.1009423E+01     0.8801793E-09
     0.1009447E+01     0.8801584E-09
     0.1009471E+01     0.8801376E-09
     0.1009495E+01     0.8801167E-09
     0.1009519E+01     0.8800959E-09
     0.1009543E+01     0.8800751E-09
     0.1009567E+01     0.8800544E-09
     0.1009591E+01     0.8800336E-09
     0.1009614E+01     0.8800129E-09
     0.1009638E+01     0.8799922E-09
     0.1009662E+01     0.8799715E-09
     0.1009685E+01     0.8799509E-09
     0.1009709E+01     0.8799303E-09
     0.1009733E+01     0.8799097E-09
     0.1009756E+01     0.8798891E-09
     0.1009780E+01     0.8798686E-09
     0.1009803E+01     0.8798481E-09
     0.1009827E+01     0.8798276E-09
     0.1009850E+01     0.8798071E-09
     0.1009874E+01     0.8797867E-09
     0.1009897E+01     0.8797663E-09
     0.1009921E+01     0.8797459E-09
     0.1009944E+01     0.8797255E-09
     0.1009967E+01     0.8797052E-09
     0.1009991E+01     0.8796849E-09
     0.1010014E+01     0.8796646E-09
     0.1010037E+01     0.8796444E-09
     0.1010060E+01     0.8796241E-09
     0.1010084E+01     0.8796039E-09
     0.1010107E+01     0.8795838E-09
     0.1010130E+01     0.8795636E-09
     0.1010153E+01     0.8795435E-09
     0.1010176E+01     0.8795234E-09
     0.1010199E+01     0.8795033E-09
     0.1010222E+01     0.8794833E-09
     0.1010245E+01     0.8794633E-09
     0.1010268E+01     0.8794433E-09
     0.1010291E+01     0.8794234E-09
     0.1010314E+01     0.8794034E-09
     0.1010337E+01     0.8793835E-09
     0.1010360E+01     0.8793636E-09
     0.1010382E+01     0.8793438E-09
     0.1010405E+01     0.8793240E-09
     0.1010428E+01     0.8793042E-09
     0.1010451E+01     0.8792844E-09
     0.1010473E+01     0.8792647E-09
     0.1010496E+01     0.8792449E-09
     0.1010519E+01     0.8792253E-09
     0.1010541E+01     0.8792056E-09
     0.1010564E+01     0.8791860E-09
     0.1010586E+01     0.8791664E-09
     0.1010609E+01     0.8791468E-09
     0.1010631E+01     0.8791272E-09
     0.1010654E+01     0.8791077E-09
     0.1010676E+01     0.8790882E-09
     0.1010699E+01     0.8790688E-09
     0.1010721E+01     0.8790493E-09
     0.1010743E+01     0.8790299E-09
     0.1010766E+01     0.8790105E-09
     0.1010788E+01     0.8789912E-09
     0.1010810E+01     0.8789719E-09
     0.1010832E+01     0.8789526E-09
     0.1010854E+01     0.8789333E-09
     0.1010877E+01     0.8789140E-09
     0.1010899E+01     0.8788948E-09
     0.1010921E+01     0.8788756E-09
     0.1010943E+01     0.8788565E-09
     0.1010965E+01     0.8788374E-09
     0.1010987E+01     0.8788183E-09
     0.1011009E+01     0.8787992E-09
     0.1011031E+01     0.8787802E-09
     0.1011052E+01     0.8787611E-09
     0.1011074E+01     0.8787422E-09
     0.1011096E+01     0.8787232E-09
     0.1011118E+01     0.8787043E-09
     0.1011140E+01     0.8786854E-09
     0.1011161E+01     0.8786665E-09
     0.1011183E+01     0.8786477E-09
     0.1011205E+01     0.8786289E-09
     0.1011226E+01     0.8786101E-09
     0.1011248E+01     0.8785913E-09
     0.1011269E+01     0.8785726E-09
     0.1011291E+01     0.8785539E-09
     0.1011312E+01     0.8785352E-09
     0.1011334E+01     0.8785166E-09
     0.1011355E+01     0.8784980E-09
     0.1011377E+01     0.8784794E-09
     0.1011398E+01     0.8784609E-09
     0.1011419E+01     0.8784423E-09
     0.1011441E+01     0.8784239E-09
     0.1011462E+01     0.8784054E-09
     0.1011483E+01     0.8783870E-09
     0.1011504E+01     0.8783686E-09
     0.1011525E+01     0.8783502E-09
     0.1011547E+01     0.8783318E-09
     0.1011568E+01     0.8783135E-09
     0.1011589E+01     0.8782953E-09
     0.1011610E+01     0.8782770E-09
     0.1011631E+01     0.8782588E-09
     0.1011652E+01     0.8782406E-09
     0.1011673E+01     0.8782224E-09
     0.1011693E+01     0.8782043E-09
     0.1011714E+01     0.8781862E-09
     0.1011735E+01     0.8781681E-09
     0.1011756E+01     0.8781501E-09
     0.1011777E+01     0.8781321E-09
     0.1011797E+01     0.8781141E-09
     0.1011818E+01     0.8780961E-09
     0.1011839E+01     0.8780782E-09
     0.1011859E+01     0.8780603E-09
     0.1011880E+01     0.8780425E-09
     0.1011901E+01     0.8780246E-09
     0.1011921E+01     0.8780068E-09
     0.1011941E+01     0.8779891E-09
     0.1011962E+01     0.8779713E-09
     0.1011982E+01     0.8779536E-09
     0.1012003E+01     0.8779360E-09
     0.1012023E+01     0.8779183E-09
     0.1012043E+01     0.8779007E-09
     0.1012064E+01     0.8778831E-09
     0.1012084E+01     0.8778656E-09
     0.1012104E+01     0.8778480E-09
     0.1012124E+01     0.8778306E-09
     0.1012144E+01     0.8778131E-09
     0.1012164E+01     0.8777957E-09
     0.1012185E+01     0.8777783E-09
     0.1012205E+01     0.8777609E-09
     0.1012225E+01     0.8777436E-09
     0.1012244E+01     0.8777263E-09
     0.1012264E+01     0.8777090E-09
     0.1012284E+01     0.8776918E-09
     0.1012304E+01     0.8776745E-09
     0.1012324E+01     0.8776574E-09
     0.1012344E+01     0.8776402E-09
     0.1012363E+01     0.8776231E-09
     0.1012383E+01     0.8776060E-09
     0.1012403E+01     0.8775890E-09
     0.1012422E+01     0.8775720E-09
     0.1012442E+01     0.8775550E-09
     0.1012462E+01     0.8775380E-09
     0.1012481E+01     0.8775211E-09
     0.1012501E+01     0.8775042E-09
     0.1012520E+01     0.8774873E-09
     0.1012540E+01     0.8774705E-09
     0.1012559E+01     0.8774537E-09
     0.1012578E+01     0.8774369E-09
     0.1012598E+01     0.8774202E-09
     0.1012617E+01     0.8774035E-09
     0.1012636E+01     0.8773868E-09
     0.1012655E+01     0.8773702E-09
     0.1012674E+01     0.8773536E-09
     0.1012694E+01     0.8773370E-09
     0.1012713E+01     0.8773205E-09
     0.1012732E+01     0.8773040E-09
     0.1012751E+01     0.8772875E-09
     0.1012770E+01     0.8772711E-09
     0.1012789E+01     0.8772547E-09
     0.1012808E+01     0.8772383E-09
     0.1012826E+01     0.8772219E-09
     0.1012845E+01     0.8772056E-09
     0.1012864E+01     0.8771893E-09
     0.1012883E+01     0.8771731E-09
     0.1012902E+01     0.8771569E-09
     0.1012920E+01     0.8771407E-09
     0.1012939E+01     0.8771246E-09
     0.1012958E+01     0.8771084E-09
     0.1012976E+01     0.8770924E-09
     0.1012995E+01     0.8770763E-09
     0.1013013E+01     0.8770603E-09
     0.1013032E+01     0.8770443E-09
     0.1013050E+01     0.8770284E-09
     0.1013068E+01     0.8770124E-09
     0.1013087E+01     0.8769966E-09
     0.1013105E+01     0.8769807E-09
     0.1013123E+01     0.8769649E-09
     0.1013142E+01     0.8769491E-09
     0.1013160E+01     0.8769334E-09
     0.1013178E+01     0.8769176E-09
     0.1013196E+01     0.8769019E-09
     0.1013214E+01     0.8768863E-09
     0.1013232E+01     0.8768707E-09
     0.1013250E+01     0.8768551E-09
     0.1013268E+01     0.8768395E-09
     0.1013286E+01     0.8768240E-09
     0.1013304E+01     0.8768085E-09
     0.1013322E+01     0.8767931E-09
     0.1013340E+01     0.8767777E-09
     0.1013357E+01     0.8767623E-09
     0.1013375E+01     0.8767469E-09
     0.1013393E+01     0.8767316E-09
     0.1013411E+01     0.8767163E-09
     0.1013428E+01     0.8767011E-09
     0.1013446E+01     0.8766859E-09
     0.1013463E+01     0.8766707E-09
     0.1013481E+01     0.8766556E-09
     0.1013498E+01     0.8766405E-09
     0.1013516E+01     0.8766254E-09
     0.1013533E+01     0.8766103E-09
     0.1013550E+01     0.8765953E-09
     0.1013568E+01     0.8765803E-09
     0.1013585E+01     0.8765654E-09
     0.1013602E+01     0.8765505E-09
     0.1013619E+01     0.8765356E-09
     0.1013637E+01     0.8765208E-09
     0.1013654E+01     0.8765060E-09
     0.1013671E+01     0.8764912E-09
     0.1013688E+01     0.8764765E-09
     0.1013705E+01     0.8764618E-09
     0.1013722E+01     0.8764471E-09
     0.1013739E+01     0.8764325E-09
     0.1013756E+01     0.8764179E-09
     0.1013772E+01     0.8764033E-09
     0.1013789E+01     0.8763888E-09
     0.1013806E+01     0.8763743E-09
     0.1013823E+01     0.8763598E-09
     0.1013839E+01     0.8763454E-09
     0.1013856E+01     0.8763310E-09
     0.1013873E+01     0.8763167E-09
     0.1013889E+01     0.8763024E-09
     0.1013906E+01     0.8762881E-09
     0.1013922E+01     0.8762738E-09
     0.1013939E+01     0.8762596E-09
     0.1013955E+01     0.8762454E-09
     0.1013972E+01     0.8762313E-09
     0.1013988E+01     0.8762172E-09
     0.1014004E+01     0.8762031E-09
     0.1014020E+01     0.8761891E-09
