#          r               U
     0.9840223E+00     0.9028998E-09
     0.9840309E+00     0.9028919E-09
     0.9840396E+00     0.9028840E-09
     0.9840483E+00     0.9028760E-09
     0.9840570E+00     0.9028680E-09
     0.9840658E+00     0.9028599E-09
     0.9840747E+00     0.9028518E-09
     0.9840836E+00     0.9028436E-09
     0.9840926E+00     0.9028354E-09
     0.9841016E+00     0.9028271E-09
     0.9841106E+00     0.9028188E-09
     0.9841197E+00     0.9028105E-09
     0.9841289E+00     0.9028021E-09
     0.9841380E+00     0.9027936E-09
     0.9841473E+00     0.9027852E-09
     0.9841566E+00     0.9027766E-09
     0.9841659E+00     0.9027681E-09
     0.9841753E+00     0.9027595E-09
     0.9841848E+00     0.9027508E-09
     0.9841942E+00     0.9027421E-09
     0.9842038E+00     0.9027333E-09
     0.9842134E+00     0.9027246E-09
     0.9842230E+00     0.9027157E-09
     0.9842327E+00     0.9027068E-09
     0.9842424E+00     0.9026979E-09
     0.9842522E+00     0.9026889E-09
     0.9842620E+00     0.9026799E-09
     0.9842719E+00     0.9026709E-09
     0.9842818E+00     0.9026618E-09
     0.9842918E+00     0.9026526E-09
     0.9843018E+00     0.9026434E-09
     0.9843119E+00     0.9026342E-09
     0.9843220E+00     0.9026249E-09
     0.9843322E+00     0.9026156E-09
     0.9843424E+00     0.9026062E-09
     0.9843527E+00     0.9025968E-09
     0.9843630E+00     0.9025874E-09
     0.9843733E+00     0.9025779E-09
     0.9843837E+00     0.9025683E-09
     0.9843942E+00     0.9025587E-09
     0.9844047E+00     0.9025491E-09
     0.9844152E+00     0.9025394E-09
     0.9844258E+00     0.9025297E-09
     0.9844365E+00     0.9025199E-09
     0.9844472E+00     0.9025101E-09
     0.9844579E+00     0.9025003E-09
     0.9844687E+00     0.9024904E-09
     0.9844796E+00     0.9024805E-09
     0.9844904E+00     0.9024705E-09
     0.9845014E+00     0.9024605E-09
     0.9845124E+00     0.9024504E-09
     0.9845234E+00     0.9024403E-09
     0.9845345E+00     0.9024301E-09
     0.9845456E+00     0.9024199E-09
     0.9845568E+00     0.9024097E-09
     0.9845680E+00     0.9023994E-09
     0.9845792E+00     0.9023891E-09
     0.9845906E+00     0.9023787E-09
     0.9846019E+00     0.9023683E-09
     0.9846133E+00     0.9023579E-09
     0.9846248E+00     0.9023474E-09
     0.9846363E+00     0.9023368E-09
     0.9846478E+00     0.9023262E-09
     0.9846594E+00     0.9023156E-09
     0.9846711E+00     0.9023049E-09
     0.9846828E+00     0.9022942E-09
     0.9846945E+00     0.9022835E-09
     0.9847063E+00     0.9022727E-09
     0.9847181E+00     0.9022618E-09
     0.9847300E+00     0.9022509E-09
     0.9847419E+00     0.9022400E-09
     0.9847539E+00     0.9022290E-09
     0.9847659E+00     0.9022180E-09
     0.9847780E+00     0.9022070E-09
     0.9847901E+00     0.9021959E-09
     0.9848023E+00     0.9021847E-09
     0.9848145E+00     0.9021736E-09
     0.9848267E+00     0.9021623E-09
     0.9848390E+00     0.9021511E-09
     0.9848514E+00     0.9021397E-09
     0.9848638E+00     0.9021284E-09
     0.9848762E+00     0.9021170E-09
     0.9848887E+00     0.9021056E-09
     0.9849012E+00     0.9020941E-09
     0.9849138E+00     0.9020826E-09
     0.9849264E+00     0.9020710E-09
     0.9849391E+00     0.9020594E-09
     0.9849518E+00     0.9020477E-09
     0.9849646E+00     0.9020361E-09
     0.9849774E+00     0.9020243E-09
     0.9849903E+00     0.9020126E-09
     0.9850032E+00     0.9020007E-09
     0.9850161E+00     0.9019889E-09
     0.9850291E+00     0.9019770E-09
     0.9850421E+00     0.9019650E-09
     0.9850552E+00     0.9019531E-09
     0.9850684E+00     0.9019410E-09
     0.9850815E+00     0.9019290E-09
     0.9850948E+00     0.9019169E-09
     0.9851080E+00     0.9019047E-09
     0.9851213E+00     0.9018925E-09
     0.9851347E+00     0.9018803E-09
     0.9851481E+00     0.9018680E-09
     0.9851616E+00     0.9018557E-09
     0.9851751E+00     0.9018433E-09
     0.9851886E+00     0.9018310E-09
     0.9852022E+00     0.9018185E-09
     0.9852158E+00     0.9018060E-09
     0.9852295E+00     0.9017935E-09
     0.9852432E+00     0.9017810E-09
     0.9852570E+00     0.9017683E-09
     0.9852708E+00     0.9017557E-09
     0.9852847E+00     0.9017430E-09
     0.9852986E+00     0.9017303E-09
     0.9853125E+00     0.9017175E-09
     0.9853265E+00     0.9017047E-09
     0.9853406E+00     0.9016919E-09
     0.9853546E+00     0.9016790E-09
     0.9853688E+00     0.9016661E-09
     0.9853829E+00     0.9016531E-09
     0.9853972E+00     0.9016401E-09
     0.9854114E+00     0.9016270E-09
     0.9854257E+00     0.9016139E-09
     0.9854401E+00     0.9016008E-09
     0.9854545E+00     0.9015876E-09
     0.9854689E+00     0.9015744E-09
     0.9854834E+00     0.9015612E-09
     0.9854980E+00     0.9015479E-09
     0.9855125E+00     0.9015345E-09
     0.9855272E+00     0.9015212E-09
     0.9855418E+00     0.9015077E-09
     0.9855565E+00     0.9014943E-09
     0.9855713E+00     0.9014808E-09
     0.9855861E+00     0.9014673E-09
     0.9856009E+00     0.9014537E-09
     0.9856158E+00     0.9014401E-09
     0.9856307E+00     0.9014264E-09
     0.9856457E+00     0.9014127E-09
     0.9856607E+00     0.9013990E-09
     0.9856758E+00     0.9013852E-09
     0.9856909E+00     0.9013714E-09
     0.9857060E+00     0.9013575E-09
     0.9857212E+00     0.9013437E-09
     0.9857365E+00     0.9013297E-09
     0.9857517E+00     0.9013158E-09
     0.9857671E+00     0.9013017E-09
     0.9857824E+00     0.9012877E-09
     0.9857978E+00     0.9012736E-09
     0.9858133E+00     0.9012595E-09
     0.9858288E+00     0.9012453E-09
     0.9858443E+00     0.9012311E-09
     0.9858599E+00     0.9012168E-09
     0.9858756E+00     0.9012026E-09
     0.9858912E+00     0.9011882E-09
     0.9859069E+00     0.9011739E-09
     0.9859227E+00     0.9011595E-09
     0.9859385E+00     0.9011450E-09
     0.9859543E+00     0.9011306E-09
     0.9859702E+00     0.9011160E-09
     0.9859862E+00     0.9011015E-09
     0.9860021E+00     0.9010869E-09
     0.9860181E+00     0.9010722E-09
     0.9860342E+00     0.9010576E-09
     0.9860503E+00     0.9010429E-09
     0.9860664E+00     0.9010281E-09
     0.9860826E+00     0.9010133E-09
     0.9860988E+00     0.9009985E-09
     0.9861151E+00     0.9009836E-09
     0.9861314E+00     0.9009687E-09
     0.9861478E+00     0.9009538E-09
     0.9861642E+00     0.9009388E-09
     0.9861806E+00     0.9009238E-09
     0.9861971E+00     0.9009087E-09
     0.9862136E+00     0.9008936E-09
     0.9862302E+00     0.9008785E-09
     0.9862468E+00     0.9008633E-09
     0.9862635E+00     0.9008481E-09
     0.9862801E+00     0.9008329E-09
     0.9862969E+00     0.9008176E-09
     0.9863137E+00     0.9008023E-09
     0.9863305E+00     0.9007869E-09
     0.9863473E+00     0.9007715E-09
     0.9863642E+00     0.9007561E-09
     0.9863812E+00     0.9007406E-09
     0.9863982E+00     0.9007251E-09
     0.9864152E+00     0.9007095E-09
     0.9864323E+00     0.9006940E-09
     0.9864494E+00     0.9006783E-09
     0.9864665E+00     0.9006627E-09
     0.9864837E+00     0.9006470E-09
     0.9865009E+00     0.9006313E-09
     0.9865182E+00     0.9006155E-09
     0.9865355E+00     0.9005997E-09
     0.9865529E+00     0.9005838E-09
     0.9865703E+00     0.9005680E-09
     0.9865877E+00     0.9005520E-09
     0.9866052E+00     0.9005361E-09
     0.9866227E+00     0.9005201E-09
     0.9866403E+00     0.9005041E-09
     0.9866579E+00     0.9004880E-09
     0.9866755E+00     0.9004719E-09
     0.9866932E+00     0.9004558E-09
     0.9867109E+00     0.9004396E-09
     0.9867287E+00     0.9004234E-09
     0.9867465E+00     0.9004071E-09
     0.9867643E+00     0.9003908E-09
     0.9867822E+00     0.9003745E-09
     0.9868001E+00     0.9003582E-09
     0.9868181E+00     0.9003418E-09
     0.9868361E+00     0.9003254E-09
     0.9868542E+00     0.9003089E-09
     0.9868722E+00     0.9002924E-09
     0.9868904E+00     0.9002759E-09
     0.9869085E+00     0.9002593E-09
     0.9869267E+00     0.9002427E-09
     0.9869450E+00     0.9002260E-09
     0.9869633E+00     0.9002094E-09
     0.9869816E+00     0.9001926E-09
     0.9870000E+00     0.9001759E-09
     0.9870184E+00     0.9001591E-09
     0.9870368E+00     0.9001423E-09
     0.9870553E+00     0.9001254E-09
     0.9870738E+00     0.9001085E-09
     0.9870924E+00     0.9000916E-09
     0.9871110E+00     0.9000747E-09
     0.9871296E+00     0.9000577E-09
     0.9871483E+00     0.9000406E-09
     0.9871670E+00     0.9000236E-09
     0.9871858E+00     0.9000065E-09
     0.9872046E+00     0.8999893E-09
     0.9872234E+00     0.8999722E-09
     0.9872423E+00     0.8999549E-09
     0.9872612E+00     0.8999377E-09
     0.9872801E+00     0.8999204E-09
     0.9872991E+00     0.8999031E-09
