#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.4300000E+01     0.9804625E+00    -0.1315097E-02     0.7515970E-01     0.1744545E-01     0.4593546E-09     0.9035272E-09     0.1807054E-08
     0.4400000E+01     0.9803294E+00    -0.1345617E-02     0.7690412E-01     0.1744308E-01     0.4593525E-09     0.9035252E-09     0.1807050E-08
     0.4500000E+01     0.9801933E+00    -0.1376133E-02     0.7864831E-01     0.1744066E-01     0.4593504E-09     0.9035231E-09     0.1807046E-08
     0.4600000E+01     0.9800542E+00    -0.1406644E-02     0.8039225E-01     0.1743818E-01     0.4593482E-09     0.9035209E-09     0.1807042E-08
     0.4700000E+01     0.9799120E+00    -0.1437150E-02     0.8213595E-01     0.1743565E-01     0.4593460E-09     0.9035187E-09     0.1807037E-08
     0.4800000E+01     0.9797668E+00    -0.1467652E-02     0.8387938E-01     0.1743307E-01     0.4593438E-09     0.9035165E-09     0.1807033E-08
     0.4900000E+01     0.9796185E+00    -0.1498148E-02     0.8562256E-01     0.1743043E-01     0.4593415E-09     0.9035142E-09     0.1807028E-08
     0.5000000E+01     0.9794671E+00    -0.1528640E-02     0.8736547E-01     0.1742774E-01     0.4593391E-09     0.9035118E-09     0.1807024E-08
     0.5100000E+01     0.9793127E+00    -0.1559127E-02     0.8910810E-01     0.1742499E-01     0.4593368E-09     0.9035094E-09     0.1807019E-08
     0.5200000E+01     0.9791553E+00    -0.1589609E-02     0.9085046E-01     0.1742219E-01     0.4593343E-09     0.9035070E-09     0.1807014E-08
     0.5300000E+01     0.9789948E+00    -0.1620086E-02     0.9259254E-01     0.1741934E-01     0.4593318E-09     0.9035045E-09     0.1807009E-08
     0.5400000E+01     0.9788313E+00    -0.1650557E-02     0.9433433E-01     0.1741643E-01     0.4593293E-09     0.9035020E-09     0.1807004E-08
     0.5500000E+01     0.9786647E+00    -0.1681023E-02     0.9607583E-01     0.1741346E-01     0.4593267E-09     0.9034994E-09     0.1806999E-08
     0.5600000E+01     0.9784951E+00    -0.1711483E-02     0.9781702E-01     0.1741045E-01     0.4593241E-09     0.9034968E-09     0.1806994E-08
     0.5700000E+01     0.9783224E+00    -0.1741938E-02     0.9955791E-01     0.1740738E-01     0.4593214E-09     0.9034941E-09     0.1806988E-08
     0.5800000E+01     0.9781467E+00    -0.1772387E-02     0.1012985E+00     0.1740425E-01     0.4593187E-09     0.9034914E-09     0.1806983E-08
     0.5900000E+01     0.9779679E+00    -0.1802831E-02     0.1030388E+00     0.1740107E-01     0.4593159E-09     0.9034886E-09     0.1806977E-08
     0.6000000E+01     0.9777861E+00    -0.1833268E-02     0.1047787E+00     0.1739783E-01     0.4593131E-09     0.9034858E-09     0.1806972E-08
     0.6100000E+01     0.9776013E+00    -0.1863700E-02     0.1065183E+00     0.1739455E-01     0.4593103E-09     0.9034829E-09     0.1806966E-08
     0.6200000E+01     0.9774134E+00    -0.1894125E-02     0.1082576E+00     0.1739120E-01     0.4593074E-09     0.9034800E-09     0.1806960E-08
     0.6300000E+01     0.9772225E+00    -0.1924544E-02     0.1099966E+00     0.1738781E-01     0.4593044E-09     0.9034771E-09     0.1806954E-08
     0.6400000E+01     0.9770285E+00    -0.1954957E-02     0.1117352E+00     0.1738436E-01     0.4593014E-09     0.9034741E-09     0.1806948E-08
     0.6500000E+01     0.9768315E+00    -0.1985364E-02     0.1134734E+00     0.1738085E-01     0.4592983E-09     0.9034710E-09     0.1806942E-08
     0.6600000E+01     0.9766314E+00    -0.2015764E-02     0.1152113E+00     0.1737729E-01     0.4592952E-09     0.9034679E-09     0.1806936E-08
     0.6700000E+01     0.9764283E+00    -0.2046157E-02     0.1169489E+00     0.1737368E-01     0.4592921E-09     0.9034648E-09     0.1806930E-08
     0.6800000E+01     0.9762222E+00    -0.2076544E-02     0.1186861E+00     0.1737001E-01     0.4592889E-09     0.9034616E-09     0.1806923E-08
     0.6900000E+01     0.9760130E+00    -0.2106924E-02     0.1204229E+00     0.1736629E-01     0.4592857E-09     0.9034583E-09     0.1806917E-08
     0.7000000E+01     0.9758008E+00    -0.2137297E-02     0.1221593E+00     0.1736252E-01     0.4592824E-09     0.9034551E-09     0.1806910E-08
     0.7100000E+01     0.9755855E+00    -0.2167663E-02     0.1238954E+00     0.1735869E-01     0.4592791E-09     0.9034517E-09     0.1806903E-08
     0.7200000E+01     0.9753673E+00    -0.2198022E-02     0.1256311E+00     0.1735481E-01     0.4592757E-09     0.9034484E-09     0.1806897E-08
     0.7300000E+01     0.9751459E+00    -0.2228374E-02     0.1273664E+00     0.1735087E-01     0.4592722E-09     0.9034449E-09     0.1806890E-08
     0.7400000E+01     0.9749216E+00    -0.2258718E-02     0.1291012E+00     0.1734688E-01     0.4592688E-09     0.9034415E-09     0.1806883E-08
     0.7500000E+01     0.9746942E+00    -0.2289056E-02     0.1308357E+00     0.1734283E-01     0.4592653E-09     0.9034379E-09     0.1806876E-08
     0.7600000E+01     0.9744638E+00    -0.2319385E-02     0.1325698E+00     0.1733873E-01     0.4592617E-09     0.9034344E-09     0.1806869E-08
     0.7700000E+01     0.9742303E+00    -0.2349707E-02     0.1343035E+00     0.1733458E-01     0.4592581E-09     0.9034308E-09     0.1806862E-08
     0.7800000E+01     0.9739938E+00    -0.2380022E-02     0.1360367E+00     0.1733038E-01     0.4592544E-09     0.9034271E-09     0.1806854E-08
     0.7900000E+01     0.9737543E+00    -0.2410328E-02     0.1377695E+00     0.1732611E-01     0.4592507E-09     0.9034234E-09     0.1806847E-08
     0.8000000E+01     0.9735118E+00    -0.2440627E-02     0.1395019E+00     0.1732180E-01     0.4592470E-09     0.9034196E-09     0.1806839E-08
     0.8100000E+01     0.9732662E+00    -0.2470918E-02     0.1412339E+00     0.1731743E-01     0.4592432E-09     0.9034158E-09     0.1806832E-08
     0.8200000E+01     0.9730176E+00    -0.2501201E-02     0.1429654E+00     0.1731301E-01     0.4592393E-09     0.9034120E-09     0.1806824E-08
     0.8300000E+01     0.9727660E+00    -0.2531475E-02     0.1446965E+00     0.1730853E-01     0.4592354E-09     0.9034081E-09     0.1806816E-08
     0.8400000E+01     0.9725113E+00    -0.2561741E-02     0.1464271E+00     0.1730401E-01     0.4592315E-09     0.9034041E-09     0.1806808E-08
     0.8500000E+01     0.9722536E+00    -0.2591999E-02     0.1481573E+00     0.1729942E-01     0.4592275E-09     0.9034002E-09     0.1806800E-08
     0.8600000E+01     0.9719929E+00    -0.2622249E-02     0.1498870E+00     0.1729478E-01     0.4592234E-09     0.9033961E-09     0.1806792E-08
     0.8700000E+01     0.9717292E+00    -0.2652490E-02     0.1516163E+00     0.1729009E-01     0.4592194E-09     0.9033920E-09     0.1806784E-08
     0.8800000E+01     0.9714624E+00    -0.2682722E-02     0.1533450E+00     0.1728535E-01     0.4592152E-09     0.9033879E-09     0.1806776E-08
     0.8900000E+01     0.9711926E+00    -0.2712945E-02     0.1550733E+00     0.1728055E-01     0.4592111E-09     0.9033837E-09     0.1806767E-08
     0.9000000E+01     0.9709198E+00    -0.2743160E-02     0.1568011E+00     0.1727570E-01     0.4592068E-09     0.9033795E-09     0.1806759E-08
     0.9100000E+01     0.9706440E+00    -0.2773365E-02     0.1585285E+00     0.1727079E-01     0.4592026E-09     0.9033752E-09     0.1806750E-08
     0.9200000E+01     0.9703651E+00    -0.2803562E-02     0.1602553E+00     0.1726583E-01     0.4591982E-09     0.9033709E-09     0.1806742E-08
     0.9300000E+01     0.9700833E+00    -0.2833749E-02     0.1619816E+00     0.1726082E-01     0.4591939E-09     0.9033666E-09     0.1806733E-08
     0.9400000E+01     0.9697984E+00    -0.2863928E-02     0.1637075E+00     0.1725575E-01     0.4591895E-09     0.9033622E-09     0.1806724E-08
     0.9500000E+01     0.9695105E+00    -0.2894096E-02     0.1654328E+00     0.1725063E-01     0.4591850E-09     0.9033577E-09     0.1806715E-08
     0.9600000E+01     0.9692196E+00    -0.2924256E-02     0.1671576E+00     0.1724546E-01     0.4591805E-09     0.9033532E-09     0.1806706E-08
     0.9700000E+01     0.9689256E+00    -0.2954405E-02     0.1688819E+00     0.1724023E-01     0.4591760E-09     0.9033486E-09     0.1806697E-08
     0.9800000E+01     0.9686287E+00    -0.2984546E-02     0.1706056E+00     0.1723495E-01     0.4591714E-09     0.9033441E-09     0.1806688E-08
     0.9900000E+01     0.9683287E+00    -0.3014676E-02     0.1723289E+00     0.1722962E-01     0.4591667E-09     0.9033394E-09     0.1806679E-08
     0.1000000E+02     0.9680258E+00    -0.3044796E-02     0.1740516E+00     0.1722423E-01     0.4591620E-09     0.9033347E-09     0.1806669E-08
     0.1010000E+02     0.9677198E+00    -0.3074907E-02     0.1757737E+00     0.1721879E-01     0.4591573E-09     0.9033300E-09     0.1806660E-08
     0.1020000E+02     0.9674108E+00    -0.3105008E-02     0.1774953E+00     0.1721329E-01     0.4591525E-09     0.9033252E-09     0.1806650E-08
     0.1030000E+02     0.9670988E+00    -0.3135098E-02     0.1792164E+00     0.1720774E-01     0.4591477E-09     0.9033204E-09     0.1806641E-08
     0.1040000E+02     0.9667838E+00    -0.3165178E-02     0.1809369E+00     0.1720214E-01     0.4591428E-09     0.9033155E-09     0.1806631E-08
     0.1050000E+02     0.9664657E+00    -0.3195248E-02     0.1826568E+00     0.1719649E-01     0.4591379E-09     0.9033106E-09     0.1806621E-08
     0.1060000E+02     0.9661447E+00    -0.3225307E-02     0.1843761E+00     0.1719078E-01     0.4591329E-09     0.9033056E-09     0.1806611E-08
     0.1070000E+02     0.9658207E+00    -0.3255356E-02     0.1860949E+00     0.1718502E-01     0.4591279E-09     0.9033006E-09     0.1806601E-08
     0.1080000E+02     0.9654936E+00    -0.3285394E-02     0.1878132E+00     0.1717920E-01     0.4591229E-09     0.9032955E-09     0.1806591E-08
     0.1090000E+02     0.9651636E+00    -0.3315422E-02     0.1895308E+00     0.1717333E-01     0.4591177E-09     0.9032904E-09     0.1806581E-08
     0.1100000E+02     0.9648305E+00    -0.3345439E-02     0.1912478E+00     0.1716741E-01     0.4591126E-09     0.9032853E-09     0.1806571E-08
     0.1110000E+02     0.9644945E+00    -0.3375444E-02     0.1929643E+00     0.1716143E-01     0.4591074E-09     0.9032801E-09     0.1806560E-08
     0.1120000E+02     0.9641555E+00    -0.3405439E-02     0.1946801E+00     0.1715541E-01     0.4591021E-09     0.9032748E-09     0.1806550E-08
     0.1130000E+02     0.9638134E+00    -0.3435423E-02     0.1963953E+00     0.1714932E-01     0.4590969E-09     0.9032695E-09     0.1806539E-08
     0.1140000E+02     0.9634684E+00    -0.3465395E-02     0.1981100E+00     0.1714319E-01     0.4590915E-09     0.9032642E-09     0.1806528E-08
     0.1150000E+02     0.9631203E+00    -0.3495356E-02     0.1998240E+00     0.1713700E-01     0.4590861E-09     0.9032588E-09     0.1806518E-08
     0.1160000E+02     0.9627693E+00    -0.3525306E-02     0.2015374E+00     0.1713076E-01     0.4590807E-09     0.9032534E-09     0.1806507E-08
     0.1170000E+02     0.9624153E+00    -0.3555244E-02     0.2032501E+00     0.1712446E-01     0.4590752E-09     0.9032479E-09     0.1806496E-08
     0.1180000E+02     0.9620583E+00    -0.3585171E-02     0.2049623E+00     0.1711812E-01     0.4590697E-09     0.9032424E-09     0.1806485E-08
     0.1190000E+02     0.9616982E+00    -0.3615086E-02     0.2066737E+00     0.1711171E-01     0.4590641E-09     0.9032368E-09     0.1806474E-08
     0.1200000E+02     0.9613352E+00    -0.3644989E-02     0.2083846E+00     0.1710526E-01     0.4590585E-09     0.9032312E-09     0.1806462E-08
     0.1210000E+02     0.9609692E+00    -0.3674880E-02     0.2100948E+00     0.1709875E-01     0.4590528E-09     0.9032255E-09     0.1806451E-08
     0.1220000E+02     0.9606003E+00    -0.3704759E-02     0.2118043E+00     0.1709219E-01     0.4590471E-09     0.9032198E-09     0.1806440E-08
     0.1230000E+02     0.9602283E+00    -0.3734626E-02     0.2135132E+00     0.1708558E-01     0.4590414E-09     0.9032141E-09     0.1806428E-08
     0.1240000E+02     0.9598533E+00    -0.3764481E-02     0.2152215E+00     0.1707891E-01     0.4590356E-09     0.9032083E-09     0.1806417E-08
     0.1250000E+02     0.9594754E+00    -0.3794324E-02     0.2169290E+00     0.1707219E-01     0.4590297E-09     0.9032024E-09     0.1806405E-08
     0.1260000E+02     0.9590945E+00    -0.3824154E-02     0.2186359E+00     0.1706542E-01     0.4590238E-09     0.9031965E-09     0.1806393E-08
     0.1270000E+02     0.9587106E+00    -0.3853972E-02     0.2203421E+00     0.1705860E-01     0.4590179E-09     0.9031906E-09     0.1806381E-08
     0.1280000E+02     0.9583237E+00    -0.3883777E-02     0.2220476E+00     0.1705172E-01     0.4590119E-09     0.9031846E-09     0.1806369E-08
     0.1290000E+02     0.9579338E+00    -0.3913570E-02     0.2237524E+00     0.1704479E-01     0.4590059E-09     0.9031786E-09     0.1806357E-08
     0.1300000E+02     0.9575410E+00    -0.3943349E-02     0.2254566E+00     0.1703780E-01     0.4589998E-09     0.9031725E-09     0.1806345E-08
     0.1310000E+02     0.9571451E+00    -0.3973116E-02     0.2271600E+00     0.1703077E-01     0.4589937E-09     0.9031664E-09     0.1806333E-08
     0.1320000E+02     0.9567463E+00    -0.4002870E-02     0.2288627E+00     0.1702368E-01     0.4589875E-09     0.9031602E-09     0.1806320E-08
     0.1330000E+02     0.9563446E+00    -0.4032611E-02     0.2305647E+00     0.1701654E-01     0.4589813E-09     0.9031540E-09     0.1806308E-08
     0.1340000E+02     0.9559398E+00    -0.4062339E-02     0.2322660E+00     0.1700934E-01     0.4589750E-09     0.9031477E-09     0.1806295E-08
     0.1350000E+02     0.9555321E+00    -0.4092053E-02     0.2339666E+00     0.1700209E-01     0.4589687E-09     0.9031414E-09     0.1806283E-08
     0.1360000E+02     0.9551214E+00    -0.4121754E-02     0.2356664E+00     0.1699479E-01     0.4589624E-09     0.9031351E-09     0.1806270E-08
     0.1370000E+02     0.9547078E+00    -0.4151442E-02     0.2373656E+00     0.1698744E-01     0.4589560E-09     0.9031287E-09     0.1806257E-08
     0.1380000E+02     0.9542911E+00    -0.4181116E-02     0.2390639E+00     0.1698003E-01     0.4589495E-09     0.9031222E-09     0.1806244E-08
     0.1390000E+02     0.9538715E+00    -0.4210777E-02     0.2407616E+00     0.1697257E-01     0.4589430E-09     0.9031157E-09     0.1806231E-08
     0.1400000E+02     0.9534490E+00    -0.4240423E-02     0.2424584E+00     0.1696506E-01     0.4589365E-09     0.9031092E-09     0.1806218E-08
     0.1410000E+02     0.9530234E+00    -0.4270056E-02     0.2441546E+00     0.1695750E-01     0.4589299E-09     0.9031026E-09     0.1806205E-08
     0.1420000E+02     0.9525950E+00    -0.4299675E-02     0.2458499E+00     0.1694988E-01     0.4589233E-09     0.9030960E-09     0.1806192E-08
